trust_code,site_code,year,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R0B,R0B0U,2020-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),OTHER INPATIENT,3193.0,7703.0,1886.0,1307.0,607247.0,8164.0,0.0,0.0,0.0,2690.0,16.97,0.36,0.0,,7.37,324847.0,50879.0,0.0,24.7,3193.0,0.007735671782023176,0.0023081741309113686,101.73723770748512,78.83253277943658,0.0
R0B,R0B0U,2021-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),OTHER INPATIENT,3193.0,7703.0,1886.0,1307.0,603242.0,0.0,0.0,320961.0,0.0,1746.0,16.029999999999998,0.81,0.0,,6.6,0.0,43567.0,0.0,23.439999999999998,3193.0,0.007341058565612276,0.002067021609771375,0.0,78.31260547838504,100.52020043845913
R0B,R0B0X,2020-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND EYE INFIRMARY,SPECIALIST ACUTE HOSPITAL,7122.0,20708.0,5228.0,1894.0,2679600.0,0.0,0.0,0.0,0.0,7291.0,17.72,3.9,0.0,,24.01,538114.0,0.0,0.0,45.629999999999995,7122.0,0.006406908171861836,0.0033712440325751195,75.5565852288683,129.3992659841607,0.0
R0B,R0B0X,2021-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND EYE INFIRMARY,SPECIALIST ACUTE HOSPITAL,7122.0,20708.0,5228.0,1894.0,2805143.0,0.0,0.0,518144.0,0.0,5986.0,8.56,16.0,0.0,,0.0,0.0,0.0,0.0,24.560000000000002,7122.0,0.0034484695310306097,0.0,0.0,135.46180220204752,72.75259758494805
R0D,R0D01,2021-01-01,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,POOLE HOSPITAL,GENERAL ACUTE HOSPITAL,85432.0,192718.0,46586.0,19779.0,27746368.0,30510.0,0.0,0.0,0.0,130345.0,468.0,251.0,0.0,,114.0,2584838.0,0.0,0.0,833.0,66365.0,0.012551796880886009,0.0017177729224741958,38.94881338054697,143.9739308211999,0.0
R0D,R0D02,2021-01-01,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,ROYAL BOURNEMOUTH HOSPITAL,GENERAL ACUTE HOSPITAL,78520.72,257193.0,57512.0,15747.0,11958496.0,66400.0,0.0,0.0,0.0,102465.0,556.0,407.0,0.0,,89.0,12323012.0,86261.0,0.0,1052.0,73259.0,0.014360010374151981,0.001214867797813238,168.21157809961915,46.49619546410672,0.0
R0D,R0D03,2021-01-01,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,CHRISTCHURCH HOSPITAL,OTHER INPATIENT,7866.0,18299.0,5867.0,1999.0,1316944.0,4598.0,0.0,0.0,0.0,4304.0,26.0,16.0,0.0,,9.0,555951.0,0.0,0.0,51.0,7866.0,0.0064836003051106025,0.0011441647597254005,70.67772692601068,71.9680856877425,0.0
R1A,R1A1P,2012-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8762.0,24717.0,4376.0,3617.0,1788472.0,0.0,0.0,678190.0,0.0,10748.0,12.99,0.0,77.0,9.75,19.26,119681.0,,,109.25,7993.0,0.01366820968347304,0.002409608407356437,14.973226573251596,72.35797224582271,84.84799199299387
R1A,R1A1P,2013-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8762.0,24717.0,4376.0,3617.0,2787396.0,0.0,0.0,0.0,0.0,9865.0,11.41,0.0,91.72,1.81,36.8,697058.0,,,139.93,7993.0,0.017506568247216314,0.0046040285249593395,87.20855748780183,112.7724238378444,0.0
R1A,R1A1P,2014-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8475.0,24717.0,4089.0,3617.0,2866240.0,0.0,0.0,0.0,0.0,8577.0,10.61,0.0,71.67,0.57,17.85,826008.0,,,100.13,7706.0,0.012993771087464313,0.002316376849208409,107.19024137036075,115.96229315855484,0.0
R1A,R1A1P,2015-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,7464.0,18776.0,3528.0,3430.0,2391544.0,0.0,0.0,797061.0,0.0,8328.0,13.38,0.0,84.99,0.0,37.08,0.0,,,135.45,6958.0,0.019466800804828974,0.005329117562517965,0.0,127.37239028547081,114.5531762000575
R1A,R1A1P,2016-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8411.0,25910.0,5434.0,2977.0,2625761.0,0.0,0.0,785272.0,0.0,11902.0,6.69,15.21,64.37,,42.945,0.0,,,129.215,8411.0,0.01536262037807633,0.005105813815241945,0.0,101.34160555769974,93.36250148614909
R1A,R1A1P,2017-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8411.0,25910.0,5434.0,2977.0,2460506.0,0.0,0.0,0.0,0.0,11905.0,0.0,30.42,43.75,,48.81,701095.0,,,122.98,8411.0,0.014621329211746524,0.005803114968493639,83.35453572702413,94.96356619065998,0.0
R1A,R1A1P,2018-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8606.0,25910.0,4900.0,3491.0,2632585.0,0.0,0.0,5958.0,119173.0,10867.0,43.68,31.27,3.0,,112.0,536942.0,0.0,,189.95,8391.0,0.022637349541175068,0.013347634370158503,63.99022762483614,101.60497877267464,0.7100464783696818
R1A,R1A1P,2019-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8821.0,25910.0,5492.0,3329.0,2293515.0,0.0,0.0,92351.0,108614.0,7707.0,96.33,0.0,0.0,0.56,33.84,379859.0,0.0,0.0,130.17000000000002,8821.0,0.014756830291350189,0.003836299739258588,43.063031402335334,88.51852566576612,10.469447908400408
R1A,R1A1P,2020-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,9009.0,25910.0,5492.0,3329.0,2963692.0,0.0,0.0,171227.0,0.0,11839.0,105.74,0.0,0.53,,30.46,482312.0,0.0,0.0,136.73,8821.0,0.015500510146241922,0.0034531232286588824,54.677700940936404,114.38409880355076,19.41129123682122
R1A,R1A1P,2021-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,9009.0,25910.0,5492.0,3329.0,2821360.0,0.0,0.0,184680.0,0.0,13348.0,221.37,0.0,1.0,,45.4,416883.0,0.0,0.0,267.77,8821.0,0.030355968711030492,0.0051468087518421945,47.260287949212106,108.89077576225395,20.936401768506972
R1A,R1A22,2012-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,699.0,1715.0,547.0,53.0,156835.0,0.0,0.0,36701.0,0.0,1101.0,0.28,0.0,3.38,0.0,1.46,6477.0,,,5.12,600.0,0.008533333333333334,0.0024333333333333334,10.795,91.44897959183673,61.16833333333334
R1A,R1A22,2013-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,699.0,1715.0,547.0,53.0,203043.0,0.0,0.0,0.0,0.0,1499.0,0.13,0.0,3.21,0.0,0.14,47874.0,,,3.48,600.0,0.0058,0.00023333333333333336,79.79,118.39241982507289,0.0
R1A,R1A22,2014-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,699.0,1715.0,547.0,53.0,186018.0,0.0,0.0,43198.0,0.0,941.0,0.26,0.0,3.51,0.0,1.48,0.0,,,5.25,600.0,0.00875,0.0024666666666666665,0.0,108.46530612244898,71.99666666666667
R1A,R1A22,2015-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,697.0,1638.0,607.0,90.0,172791.0,0.0,0.0,39885.0,0.0,775.0,0.0,0.0,3.0,0.0,2.0,0.0,,,5.0,697.0,0.007173601147776184,0.0028694404591104736,0.0,105.48901098901099,57.22381635581062
R1A,R1A22,2016-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,591.0,106.0,150787.0,0.0,0.0,0.0,0.0,541.0,0.0,1.585,1.5,,2.605,57660.0,,,5.6899999999999995,697.0,0.008163558106169297,0.0037374461979913917,82.72596843615494,92.05555555555556,0.0
R1A,R1A22,2017-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,591.0,106.0,166525.0,0.0,0.0,0.0,0.0,541.0,0.0,3.17,0.0,,3.21,50182.0,,,6.38,697.0,0.00915351506456241,0.00460545193687231,71.99713055954089,101.66361416361417,0.0
R1A,R1A22,2018-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,612.0,85.0,182967.0,0.0,0.0,472.0,9448.0,1208.0,0.87,3.33,0.0,,3.17,42569.0,0.0,,7.37,697.0,0.010573888091822095,0.0045480631276901004,61.074605451936876,111.7014652014652,0.6771879483500718
R1A,R1A22,2019-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,163215.0,0.0,0.0,8224.0,9672.0,1076.0,3.73,0.0,0.0,0.0,3.23,33827.0,0.0,0.0,6.96,697.0,0.009985652797704447,0.004634146341463414,48.53228120516499,99.64285714285714,11.799139167862267
R1A,R1A22,2020-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,178052.0,0.0,0.0,13106.0,0.0,1265.0,1.98,0.0,0.07,,1.84,36916.0,0.0,0.0,3.8899999999999997,697.0,0.005581061692969871,0.002639885222381636,52.964131994261116,108.7008547008547,18.803443328550934
R1A,R1A22,2021-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,181777.0,0.0,0.0,15068.0,0.0,1189.0,4.03,0.0,0.03,,3.46,34014.0,0.0,0.0,7.5200000000000005,697.0,0.010789096126255381,0.004964131994261119,48.80057388809182,110.97496947496947,21.618364418938306
R1A,R1A49,2012-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,HILL CREST MH UNIT,OTHER INPATIENT,2409.0,5875.0,1462.0,730.0,766518.0,0.0,0.0,0.0,0.0,14364.0,0.49,0.0,6.76,0.0,2.74,194271.0,,,9.99,2192.0,0.004557481751824817,0.00125,88.62728102189782,130.4711489361702,0.0
R1A,R1A49,2013-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,HILL CREST MH UNIT,OTHER INPATIENT,2409.0,5875.0,1462.0,730.0,859342.0,0.0,0.0,0.0,0.0,1416.0,1.23,0.0,6.55,0.0,3.5,117946.0,,,11.28,2192.0,0.005145985401459854,0.0015967153284671533,53.80748175182482,146.27097872340426,0.0
R1A,R1A49,2014-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,OTHER INPATIENT,2409.0,5875.0,1462.0,730.0,785984.0,0.0,0.0,0.0,0.0,1990.0,0.21,0.0,7.23,0.0,2.94,332878.0,,,10.38,2192.0,0.004735401459854015,0.0013412408759124086,151.86040145985402,133.78451063829786,0.0
R1A,R1A49,2015-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,OTHER INPATIENT,2295.0,5393.0,1420.0,754.0,474195.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0,7.0,0.0,5.0,301955.0,,,12.0,2174.0,0.005519779208831647,0.0022999080036798527,138.89374425023,87.92786946041164,0.0
R1A,R1A49,2016-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1701.0,594.0,539274.0,0.0,0.0,0.0,0.0,1846.0,0.0,2.54,3.5,,7.99,228813.0,,,14.030000000000001,2295.0,0.0061132897603485845,0.0034814814814814817,99.70065359477124,99.99517893565734,0.0
R1A,R1A49,2017-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1701.0,594.0,429543.0,0.0,0.0,0.0,0.0,1686.0,0.0,5.08,0.0,,10.98,251576.0,,,16.060000000000002,2295.0,0.006997821350762528,0.004784313725490197,109.61917211328976,79.64824772853699,0.0
R1A,R1A49,2018-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1791.0,450.0,467478.0,0.0,0.0,157877.0,17861.0,1686.0,0.84,10.16,0.0,,4.94,29563.0,26744.0,,15.940000000000001,2241.0,0.007112896028558679,0.002204373047746542,13.191878625613565,86.68236603003893,70.44935296742526
R1A,R1A49,2019-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1883.0,412.0,395322.0,0.0,0.0,142522.0,23337.0,3304.0,9.34,0.0,0.0,0.0,4.52,34284.0,29225.0,0.0,13.86,2295.0,0.006039215686274509,0.001969498910675381,14.938562091503268,73.30279992582977,62.101089324618734
R1A,R1A49,2020-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1883.0,412.0,0.0,0.0,0.0,52247.0,0.0,2186.0,14.13,0.0,0.0,,3.77,147168.0,27272.0,0.0,17.900000000000002,2295.0,0.007799564270152506,0.0016427015250544662,64.12549019607843,0.0,22.76557734204793
R1A,R1A49,2021-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1883.0,412.0,489178.0,0.0,0.0,65119.0,0.0,1966.0,11.12,0.0,0.0,,3.86,146994.0,27817.0,0.0,14.979999999999999,2295.0,0.006527233115468409,0.001681917211328976,64.04967320261439,90.70610050064899,28.37429193899782
R1A,R1AAN,2012-01-01,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1917.0,5902.0,1130.0,591.0,155362.0,0.0,0.0,198796.0,0.0,2041.0,18.85,0.0,26.99,0.0,3.03,35802.0,,,48.870000000000005,1721.0,0.028396281231841954,0.0017606042998256825,20.803021499128413,26.323619112165368,115.51191167925624
