Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - Occupied floor area (%),Not functionally suitable - Patient occupied floor area (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),Total Waste Cost (£),High Temperature Disposal Waste Weight (Tonnes),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/Visitor concession scheme provided (Yes/No),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
5A8,GREENWICH TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,7350.00,7350.00,100.00,18655.00,6588.00,1.10,5415.00,1934.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,10.00,21.00,0.00,40.00,18.00,0.00,11.00,0.00,100.00,0.00,0.00,0.00,750000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,616833.00,948506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81927.00,10416.00,22080.00,52500.00,5.30,3.60,120.00,0.00,0.00,0.00,26.00,2600.00,No,104.00,96.00,7.00,104.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C201,FIVE ELMS HEALTH CENTRE,TREATMENT CENTRE,891.00,891.00,100.00,3010.00,891.00,0.35,668.00,223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2081.00,4249.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72407.00,165527.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15561.00,815.00,1263.00,3584.00,0.16,2.69,0.33,0.00,0.00,0.00,0.26,538.00,No,19.00,0.00,1.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C202,ANNIE PRENDAGAST HEALTH CENTRE ASHTON GARDENS,TREATMENT CENTRE,1585.00,1585.00,0.00,3566.00,836.00,0.24,1085.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188940.00,225972.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29235.00,742.00,1852.00,4666.00,0.23,2.48,0.59,0.00,0.00,0.00,0.46,958.00,No,35.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C203,VICARAGE FIELDS HEALTH CENTRE VICARAGE DRIVE,TREATMENT CENTRE,916.00,836.00,91.26,2931.00,916.00,0.16,641.00,195.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,2220.00,2312.00,768.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77866.00,233598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17749.00,323.00,711.00,4072.00,0.28,2.86,0.34,0.00,0.00,0.00,0.27,553.00,No,10.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C204,JULIA ENGWELL HEALTH CENTRE WOODWARD ROAD,TREATMENT CENTRE,769.00,769.00,100.00,2307.00,594.00,0.11,270.00,499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,1942.00,2023.00,672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51960.00,71535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12600.00,275.00,691.00,2772.00,0.13,1.45,0.29,0.00,0.00,0.00,0.23,464.00,No,6.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C206,ORCHARDS HEALTH CENTRE GASCOIGNE ROAD,TREATMENT CENTRE,968.00,894.00,0.00,3388.00,698.00,0.21,593.00,300.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,1297.00,1401.00,457.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99927.00,120087.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15547.00,574.00,2484.00,3221.00,0.13,1.65,0.36,0.00,0.00,0.00,0.28,585.00,No,16.00,0.00,1.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C208,THAMES VIEW HEALTH CENTRE BASTABLE AVENUE,TREATMENT CENTRE,1609.00,1555.00,0.00,4344.00,536.00,0.13,1030.00,525.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149954.00,164322.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29792.00,542.00,1202.00,4809.00,0.21,2.24,0.60,0.00,0.00,0.00,0.47,972.00,No,17.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C217,GRAYS COURT,COMMUNITY HOSPITAL,3065.00,2881.00,0.00,8275.00,1486.00,0.42,2452.00,429.00,0.00,0.00,0.00,39.00,39.00,39.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,346.00,7672.00,1358.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3094.00,432197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44832.00,4263.00,8237.00,13455.00,0.31,12.40,1.14,0.00,0.00,0.00,0.90,1851.00,No,30.00,0.00,3.00,0.00,0.00,0.00,No,4.63,0.00,42705.00,197724.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C218,CHURCH ELM LANE,TREATMENT CENTRE,1153.00,1153.00,0.00,3113.00,435.00,0.22,1036.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130892.00,142110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20265.00,488.00,1120.00,4243.00,0.13,3.25,0.43,0.00,0.00,0.00,0.34,696.00,No,35.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C220,MORLAND ROAD HEALTH CENTRE,TREATMENT CENTRE,1823.00,1785.00,0.00,4922.00,435.00,0.27,1155.00,630.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234087.00,227170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33123.00,1300.00,3046.00,7190.00,0.48,5.36,0.68,0.00,0.00,0.00,0.53,1101.00,No,34.00,0.00,4.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C221,"MARKS GATE HEALTH CENTRE, CHADWELL HEATH",TREATMENT CENTRE,1183.00,1037.00,0.00,2840.00,350.00,0.11,646.00,391.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108893.00,185766.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19646.00,436.00,936.00,3338.00,0.12,1.31,0.44,0.00,0.00,0.00,0.35,715.00,No,14.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C222,BARKING TOWN CENTRE HC,TREATMENT CENTRE,3289.00,3289.00,0.00,8222.00,1024.00,0.24,1458.00,1831.00,0.00,0.00,16.70,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383129.00,681065.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62566.00,1515.00,3978.00,7878.00,0.34,2.55,1.23,0.00,0.00,0.00,0.96,1987.00,No,3.00,0.00,3.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C223,PARSLOES PARK HC,TREATMENT CENTRE,2572.00,2572.00,100.00,6944.00,638.00,0.34,1253.00,1319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269175.00,440392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49644.00,1421.00,3296.00,6620.00,0.27,2.52,0.96,0.00,0.00,0.00,0.75,1553.00,No,34.00,0.00,4.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C229,BARKING COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,4995.00,4791.00,100.00,11126.00,2914.00,1.75,3004.00,1787.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,907204.00,644723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119142.00,507.00,826.00,20988.00,0.85,4.69,3.20,0.00,0.00,0.00,2.03,6034.00,No,183.00,0.00,9.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C2HQ,THE CLOCK HOUSE (HQ),SUPPORT FACILITY,2283.00,2283.00,0.00,5473.00,101.00,0.01,0.00,2283.00,0.00,50.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,6382.00,6648.00,2207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,10.00,0.00,3.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,419.00,419.00,100.00,1257.00,419.00,0.06,166.00,253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,1032.00,1075.00,357.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36024.00,76721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6915.00,219.00,519.00,1932.00,0.16,0.76,0.16,0.00,0.00,0.00,0.12,253.00,No,18.00,0.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5D7,NEWCASTLE PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,21487.00,21847.00,53.76,71161.00,10948.00,4.55,6366.00,15121.00,9.00,4.00,22.00,0.00,0.00,0.00,0.00,51.00,2.00,17.00,22.00,5.00,0.00,0.00,3.00,100.00,480000.00,656800.00,485500.00,1103200.00,1239959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3007941.00,3274500.00,0.00,0.00,0.00,0.00,0.00,35372.00,0.00,366344.00,14648.00,43365.00,44861.00,0.00,0.00,230.00,0.00,0.00,0.00,12.00,3600.00,No,396.00,103.00,23.00,272.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5D8,NORTH TYNESIDE PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,9429.00,9429.00,75.39,32178.00,8476.00,4.69,4462.00,4967.00,13.00,12.00,24.00,0.00,0.00,0.00,0.00,33.00,9.00,0.00,18.00,9.00,26.00,0.00,5.00,100.00,137000.00,211000.00,258000.00,146000.00,370930.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1285174.00,2019507.00,0.00,0.00,0.00,0.00,0.00,49922.00,0.00,207064.00,4003.00,19540.00,14847.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,No,348.00,282.00,15.00,60.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5EM,NOTTINGHAM CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,34066.00,30571.00,92.00,61082.00,45954.00,5.00,0.00,0.00,4.00,6.00,6.00,0.00,0.00,0.00,0.00,55.00,5.00,0.00,18.00,0.00,0.00,0.00,17.00,95.00,541000.00,91200.00,210000.00,0.00,842200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5530.00,3002.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,659723.00,18595.00,41181.00,31668.00,6.70,0.00,20.50,26.70,0.00,0.00,139.40,0.00,No,604.00,407.00,48.00,268.00,1.50,0.00,No,0.00,0.00,0.00,0.00
5FE,PORTSMOUTH CITY TEACHING PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5FE02,ST. MARYS HOSPITAL INC REMBRANDT UNIT,COMMUNITY HOSPITAL,5137.00,4080.00,28.00,13712.00,1369.00,1.06,2075.00,1920.00,8.90,0.00,9.00,6.00,5.00,4.00,0.00,0.00,0.00,0.00,20.00,0.00,80.00,0.00,0.00,100.00,0.00,6762.00,65308.00,54097.00,9416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441178.00,766687.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89996.00,12428.00,33258.00,6278.00,6.26,0.00,0.00,0.02,0.00,19.24,5.06,5099.00,No,91.00,80.00,10.00,0.00,0.93,0.00,No,14.04,1.53,4451.00,31219.00
