Trust Code,Trust Name,Old Commissioning Region,New Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Depreciation (£),PDC (£),Leases (£),Rent and Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged (kWh),How many kWh were discharged to use (kWh),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),Water and sewerage cost (£),Water volume (including borehole) (m³),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),WEEE waste cost (£),WEEE waste volume (Tonnes),Other waste costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry (Select),Portering service cost (£),Portering staff (WTE)
RC1,BEDFORD HOSPITAL NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RC1ORS,OTHER REPORTABLE SITES,Other Reportable Site,,,MK42 9DJ,123223.00,129545.00,313589.00,30047.00,0.00,0.00,0.00,178100.00,6041.00,96377.00,5587.00,153451.00,5054.00,5054.00,44.50,10755.00,Not Applicable,Not Applicable,2146.00,2908.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2806.00,0.00,44.50,100.00,3.90,0.00,0.00,0.00,0.00,6000.00,52800.00,88380.00,12060.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,39534.00,260735.00,26701.00,729614.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7126.00,0.00,0.00,0.00,10664.00,3320.00,2127.00,1.80,1422.00,0.30,870.00,0.40,0.00,0.00,0.00,0.00,819.00,2.70,0.00,0.00,0.00,0.00,2245.00,9.40,0.00,0.00,0.00,0.00,1766.00,6322.00,41.00,12.00,0.00,1.50,0.00,No,69923.00,2.87,0.00,0.00,512.00,1425.00,1. Full service – Contracted,Not Applicable,0.00,0.00
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RC971,LUTON AND DUNSTABLE HOSPITAL,1. General acute hospital,3. Part site - Private Finance Initiative (PFI),,LU4  0DZ,247569.00,3520000.00,79253.00,1284393.00,656000.00,1949200.00,Not Applicable,1624011.00,40751.00,957665.00,3570930.00,13750387.00,64158.00,64158.00,99.81,158051.00,8.96,0.00,44918.00,19240.00,1650.00,1595.00,284.00,180.00,500.00,580.00,2400.00,1098.00,0.00,0.00,28.49,17.99,0.19,0.00,70.00,37.00,0.00,7470111.00,10589865.00,15328599.00,525295.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1851058.00,13497761.00,569233.00,19493914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141293.00,136293.00,104259.00,146.00,165273.00,565.00,65675.00,360.00,0.00,0.00,84207.00,627.00,30173.00,245.00,15294.00,114.00,0.00,0.00,11316.00,474.00,0.00,0.00,883.00,6.17,0.00,337272.00,1275.00,41.00,2.00,3.00,0.16,Yes,4453989.00,144.00,1720954.00,699070.00,2074224.00,3190056.00,1. Full service – Contracted,No,1938465.00,97.51
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCB05,ST MONICAS HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,YO61 3JD,15690.00,32232.00,0.00,9600.00,0.00,0.00,Not Applicable,31719.00,1450.00,0.00,262.00,24796.00,801.00,790.00,100.00,1847.00,0.38,0.15,643.00,147.00,0.00,0.00,0.00,0.00,0.00,5.00,54.00,0.00,0.00,0.00,55.00,40.00,2.36,0.00,2.00,2.00,0.00,0.00,202220.00,1442.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,12609.00,88666.00,10931.00,351043.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3148.00,1033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,4.00,0.00,0.00,0.00,No,77019.00,2.50,41887.00,12135.00,7803.00,19150.00,1. Full service – Contracted,No,0.00,0.00
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCB07,THE NEW SELBY WAR MEMORIAL HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,YO8  9BX,256294.00,445814.00,0.00,179945.00,0.00,0.00,Not Applicable,85378.00,3874.00,68524.00,701.00,83872.00,5355.00,5289.00,100.00,9741.00,1.76,0.39,4758.00,531.00,0.00,0.00,0.00,0.00,0.00,11.00,273.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,21250.00,0.00,0.00,1.00,50000.00,60.00,457355.00,273434.00,163733.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,81602.00,618130.00,32198.00,1017133.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30978.00,8235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.00,15.00,1.00,0.00,0.00,No,253206.00,8.32,93640.00,16045.00,17436.00,44496.00,1. Full service – Contracted,No,68362.00,2.77
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCB55,YORK HOSPITAL,1. General acute hospital,1. Freehold,,YO31 8HE,3850419.00,3790423.00,0.00,874882.00,388000.00,0.00,Not Applicable,2112249.00,99351.00,1226450.00,18160.00,2054401.00,72679.00,72625.00,100.00,156583.00,8.09,0.65,51671.00,20375.00,0.00,1967.00,594.00,0.00,0.00,239.00,4982.00,2022.00,0.00,579.00,43.00,32.00,0.07,0.00,57.00,86.00,2.00,0.00,218049.00,3517214.00,100.00,1.00,1161000.00,75.00,25862615.00,4688942.00,9698016.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,376325.00,2604480.00,954535.00,38563111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291339.00,154176.00,382397.00,279.00,176506.00,172.00,172234.00,350.00,0.00,0.00,13413.00,67.00,69278.00,566.00,4110.00,33.00,0.00,0.00,187417.00,842.00,0.00,0.00,0.00,15.00,113818.00,129440.00,1155.00,73.00,3.00,2.20,0.20,No,4292363.00,152.03,2896338.00,623332.00,833388.00,2441723.00,1. Full service – Contracted,No,978595.00,32.82
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBCA,SCARBOROUGH HOSPITAL,1. General acute hospital,1. Freehold,,YO12 6QL,2359868.00,1896160.00,0.00,626276.00,88000.00,0.00,Not Applicable,2147028.00,91.00,697901.00,0.00,1437857.00,41378.00,40985.00,100.00,92124.00,8.84,1.59,27341.00,13581.00,0.00,981.00,1401.00,0.00,128.00,184.00,3173.00,361.00,0.00,63.00,30.00,20.00,1.08,0.00,56.00,19.00,1.00,0.00,6369413.00,172423.00,0.00,1.00,776000.00,71.00,8783864.00,1643541.00,3293669.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,362450.00,2654396.00,485050.00,19588889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208956.00,84981.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60293.00,969.00,45.00,2.00,1.20,0.08,No,2717841.00,90.25,1202468.00,379789.00,587468.00,1575415.00,1. Full service – Contracted,No,849714.00,18.25
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBL8,MALTON AND NORTON HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,YO17 7NG,267283.00,312113.00,0.00,60889.00,0.00,0.00,Not Applicable,45676.00,16930.00,18073.00,0.00,22161.00,3069.00,2937.00,100.00,6933.00,0.82,0.10,2165.00,772.00,0.00,10.00,0.00,0.00,0.00,12.00,328.00,206.00,0.00,0.00,41.00,31.00,2.97,0.00,4.00,0.00,2.00,0.00,345229.00,405229.00,4552.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,54911.00,403724.00,43570.00,1285593.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14157.00,4816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,10.00,1.00,0.00,0.00,No,290218.00,7.43,153448.00,23880.00,23875.00,45712.00,1. Full service – Contracted,No,58617.00,1.56
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBNH,BRIDLINGTON HOSPITAL,1. General acute hospital,1. Freehold,,YO16 4QP,576389.00,552985.00,0.00,217033.00,0.00,0.00,Not Applicable,296822.00,20457.00,122913.00,0.00,97416.00,16938.00,14993.00,100.00,34617.00,6.01,1.50,10310.00,4660.00,0.00,0.00,40.00,0.00,0.00,48.00,242.00,322.00,0.00,23.00,32.00,22.00,9.83,0.00,3.00,16.00,0.00,0.00,3486569.00,1525964.00,230300.00,1.00,238000.00,70.00,5378662.00,2576020.00,1671380.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,28393.00,191259.00,161527.00,6278548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77861.00,28073.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.00,19.00,2.00,1.16,0.08,No,681731.00,23.41,187105.00,51873.00,67885.00,187862.00,1. Full service – Contracted,No,226901.00,6.02
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBORS,OTHER REPORTABLE SITES,Other Reportable Site,,,YO31 8HE,445863.00,431012.00,1687813.00,360884.00,0.00,0.00,0.00,262580.00,12940.00,255592.00,2106.00,44487.00,17945.00,15893.00,15.00,48722.00,Not Applicable,Not Applicable,6775.00,9118.00,0.00,0.00,0.00,1637.00,303.00,661.00,1305.00,0.00,2701.00,0.00,18.39,8.24,11.38,0.00,0.00,0.00,0.00,0.00,1994492.00,1037300.00,511915.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,116965.00,679388.00,78511.00,2011861.00,12896.00,188370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39360.00,11936.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.00,12.00,0.00,0.00,0.00,No,134714.00,5.01,0.00,0.00,11544.00,30210.00,1. Full service – Contracted,No,0.00,0.00
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBP9,WHITECROSS COURT,7. Community hospital (with inpatient beds),1. Freehold,,YO31 8JR,90081.00,88654.00,0.00,15058.00,0.00,0.00,Not Applicable,44978.00,2056.00,0.00,372.00,4458.00,1443.00,1443.00,100.00,3579.00,0.68,0.20,1219.00,224.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,52.00,32.00,0.00,0.00,0.00,18.00,0.00,0.00,231221.00,38664.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,25833.00,182612.00,18424.00,501939.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6824.00,2717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,5.00,0.00,0.00,0.00,No,112204.00,4.65,52985.00,17283.00,12237.00,41917.00,1. Full service – Contracted,No,0.00,0.00
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,RCBTV,ST HELEN'S,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,YO24 1HD,0.00,0.00,276336.00,55037.00,0.00,0.00,0.00,11960.00,0.00,0.00,99.00,24724.00,1465.00,1460.00,0.00,3810.00,Not Applicable,Not Applicable,1440.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,32.00,22.00,0.39,0.00,0.00,9.00,0.00,0.00,495540.00,10025.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,28.00,2.00,0.00,0.00,0.00,No,97903.00,3.38,45446.00,14803.00,7522.00,26955.00,1. Full service – Contracted,No,0.00,0.00
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,RCD01,HARROGATE DISTRICT HOSPITAL,1. General acute hospital,1. Freehold,,HG2 7SX,1892126.00,2586000.00,0.00,222212.00,0.00,0.00,Not Applicable,1343978.00,21280.00,1999423.00,325997.00,2417014.00,53673.00,53673.00,99.99,133213.00,6.22,0.00,36589.00,16994.00,324.00,2799.00,366.00,676.00,200.00,60.00,3093.00,950.00,0.00,90.00,0.00,0.00,0.00,0.00,65.00,47.00,1.00,0.00,0.00,4852781.00,6631200.00,1.00,1150000.00,82.00,14703642.00,6829006.00,4900940.00,211000.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,58642.00,417046.00,394804.00,27689681.00,20277.00,163950.00,0.00,0.00,360229.00,2479107.00,0.00,0.00,0.00,0.00,369375.00,0.00,0.00,0.00,212031.00,76071.00,356231.00,219.10,122494.00,160.00,5309.00,13.69,0.00,0.00,0.00,0.00,20499.00,76.01,11000.00,129.65,0.00,0.00,76792.00,284.82,0.00,0.00,0.00,0.00,26426.00,92682.00,658.00,36.00,0.00,1.67,0.15,No,2491806.00,79.24,1415378.00,346551.00,610543.00,1617990.00,1. Full service – Contracted,No,1407774.00,48.51
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,RCD02,RIPON COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,HG4 2PR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,869.00,0.00,29391.00,0.00,1300.00,2323.00,2323.00,98.73,6110.00,Not Applicable,Not Applicable,1877.00,446.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,2.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,189149.00,6.10,73512.00,17529.00,6827.00,28802.00,1. Full service – Contracted,No,15015.00,0.64
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,RCD08,LASCELLES NEUROLOGICAL REHABILITATION UNIT,8. Other inpatient,8. Leased from commercial organisation - lease greater than 99 years,1. Leased and fully serviced by the Trust,HG1  4PA,26947.00,0.00,0.00,56080.00,0.00,0.00,0.00,4187.00,333.00,14555.00,0.00,0.00,659.00,659.00,100.00,1530.00,Not Applicable,Not Applicable,599.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,26264.00,80405.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6802.00,31288.00,6417.00,241264.00,0.00,0.00,0.00,0.00,6802.00,31288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6305.00,2152.00,249.00,0.19,10161.00,5.31,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1046.00,6.04,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,13.00,1.00,0.00,0.00,0.00,No,36851.00,1.83,31392.00,8091.00,6378.00,23241.00,1. Full service – Contracted,No,0.00,0.00
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,RCDORS,OTHER REPORTABLE SITES,Other Reportable Site,,,HG2 7SX,0.00,0.00,0.00,1588612.00,0.00,0.00,0.00,13162.00,679.00,252806.00,0.00,25000.00,10953.00,10953.00,100.00,29573.00,Not Applicable,Not Applicable,8092.00,2861.00,0.00,0.00,0.00,0.00,181.00,181.00,0.00,0.00,2499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26801.00,36699.00,67004.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8309.00,149025.00,17842.00,603951.00,0.00,0.00,0.00,0.00,8309.00,149025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11339.00,2621.00,7699.00,2.65,18324.00,9.73,0.00,0.00,0.00,0.00,0.00,0.00,289.00,0.78,0.00,0.00,0.00,0.00,5988.00,16.06,0.00,0.00,0.00,0.00,0.00,11044.00,95.00,4.00,0.00,0.00,0.00,No,2676.00,0.10,0.00,0.00,0.00,0.00,4. No service,Not Applicable,0.00,0.00
RCF,AIREDALE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,RCF22,AIREDALE GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,BD20 6TD,823000.00,1606903.00,571638.00,639682.00,27182.00,0.00,Not Applicable,1866319.00,92495.00,869758.00,176889.00,3812126.00,64812.00,61648.00,97.00,154356.00,17.00,8.07,43221.00,18427.00,542.00,717.00,550.00,935.00,861.00,602.00,2594.00,1503.00,0.00,0.00,58.00,41.00,1.00,1.30,49.00,76.00,0.00,3688498.00,1150995.00,10139902.00,5070082.00,1.00,853.00,72.00,17330976.00,6909872.00,6563000.00,0.00,0.00,Yes,2160772.00,0.00,2160772.00,180194.00,1314256.00,563363.00,28292549.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205364.00,70161.00,266056.00,197.83,17309.00,55.96,5627.00,20.78,0.00,0.00,1910.00,16.23,50626.00,423.95,6631.00,57.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,40022.39,154465.00,1447.00,46.00,4.00,1.50,0.15,No,2017998.00,75.59,1438548.00,421769.00,640754.00,2486916.00,3. Hybrid,Yes,964390.00,31.97
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SPECIALIST,RCU02,RYEGATE CHILDREN'S CENTRE,7. Community hospital (with inpatient beds),1. Freehold,,S10  5DD,65000.00,870000.00,0.00,31059.00,0.00,0.00,Not Applicable,67002.00,1468.00,0.00,0.00,100029.00,2724.00,2724.00,100.00,6792.00,1.15,0.00,2539.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,72.00,0.00,0.00,0.00,2.00,0.00,0.00,55000.00,50000.00,4690000.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,42654.00,286293.00,26758.00,702850.00,62.00,1058.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5684.00,1985.00,63.00,0.07,1311.00,3.12,267.00,0.85,0.00,0.00,0.00,0.00,629.00,4.56,0.00,0.00,0.00,0.00,2183.00,15.82,0.00,0.00,0.00,0.00,334.27,0.00,33.00,6.00,0.00,0.00,0.00,No,72281.00,2.62,14573.00,6336.00,4192.00,13326.00,1. Full service – Contracted,No,10937.00,0.50
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SPECIALIST,RCU51,THE BECTON CENTRE FOR CHILDREN & YOUNG PEOPLE,4. Mental Health (including Specialist services),1. Freehold,,S20  1NZ,247000.00,46400.00,100.00,53795.00,161000.00,0.00,Not Applicable,145137.00,3179.00,0.00,0.00,216615.00,5870.00,5870.00,100.00,16413.00,0.00,0.00,5870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,3.00,0.00,0.00,0.00,0.00,76000.00,1.00,19.00,59.00,254202.00,32470.00,74076.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,32992.00,238674.00,42019.00,1540759.00,172.00,2942.00,0.00,0.00,0.00,0.00,1.00,120212.00,0.00,0.00,0.00,0.00,0.00,0.00,7126.00,1659.00,98.00,0.10,1494.00,4.18,198.00,0.45,0.00,0.00,0.00,0.00,2537.00,18.08,0.00,0.00,0.00,0.00,3767.00,27.30,0.00,0.00,0.00,0.00,116.18,0.00,81.00,6.00,0.00,0.00,0.00,No,303373.00,11.74,138487.00,40212.00,12854.00,88071.00,2. Full service – In house,Yes,47567.00,2.00
