Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Hard FM (Estates) costs (£),Soft FM (Hotel Services) costs (£),Estates and facilities finance costs (£),Maintenance service costs (£),Income received for area leased out for retail sales (£),Area leased out for retail sales (m²),Income from services provided to other organisations (£),Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Building footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2015 to present (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),CHP units operated on the site (No.),Full load rating of the electrical generator plant (kW),Fossil energy input to the CHP system/s (kWh),Thermal energy output of the CHP system/s (kWh),Electrical energy output of the CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy cost (all energy supplies) (£),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil  consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Water and sewage cost (£),Water volume (including borehole) (m³),Waste cost (£),Preparing for re-use volume (Tonnes),Waste recycling volume (Tonnes),Other recovery volume (Tonnes),High temperature disposal waste weight (Tonnes),High temperature disposal waste weight involving combustion with energy recovery (Tonnes),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Parking spaces available (No.),Designated disabled parking spaces (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Do you charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),In-patient food services cost (£),In-patient main meals requested (No.),Cost of feeding one in-patient per day (in-patient meal day) (£),Laundry and linen service cost (£),Pieces per annum (No.),Portering (internal patient transport) service cost (£),Portering staff (WTE),Occupied floor area (m²),Occupied beds (No.),PFI Unitary charges (£),Hard FM (Estates) costs (£),Soft FM (Hotel  Services) costs (£),Maintenance service costs (£),Energy cost (all energy supplies) (£),Energy consumed (all energy supplies) (kWh),Waste cost (£),Waste disposal weight (Tonnes),Cost of in-patient food services (£),In-patient main meals requested (No.),Cleaning services costs (£),Number of cleaning staff (No.),Laundry and linen service cost (£),Laundry and linen pieces per annum (No.),Portering (internal patient transport) service cost (£),Number of Portering (internal patient transport) staff (WTE)
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHAAR,ARNOLD LODGE,LONG STAY HOSPITAL,760748.00,936879.00,2237427.00,472428.00,0.00,0.00,0.00,9859.00,9444.00,100.00,25022.00,9203.00,5.04,6893.00,2551.00,0.00,0.00,0.00,92.00,87.00,92.00,0.00,0.00,53.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,105000.00,130000.00,7833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224435.00,1248702.00,2668315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12113.00,5868.00,22344.00,0.00,10.00,0.00,0.00,0.00,2.50,100.00,0.50,118.00,5.00,0.00,0.00,No,329221.00,10.31,432813.00,100740.00,12.88,11274.00,37900.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHABW,MILLBROOK UNIT,LONG STAY HOSPITAL,395722.00,515536.00,744076.00,256040.00,0.00,0.00,0.00,6324.00,6324.00,100.00,13579.00,3200.00,2.64,4427.00,1897.00,0.00,0.00,0.00,76.00,66.00,16.00,48.00,0.00,16.09,0.00,83.91,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,49595.00,20236.00,2261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105775.00,650076.00,1873837.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20857.00,13102.00,11794.00,0.00,4.40,0.00,0.00,0.00,0.00,2.40,0.00,113.00,2.00,0.00,0.00,No,161275.00,7.65,257245.00,86845.00,8.94,24453.00,65350.00,14250.00,0.85,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHACA,HEATHER CLOSE BUNGALOWS (MANSFIELD MH ),SUPPORT FACILITY,106521.00,42239.00,32549.00,91403.00,0.00,0.00,0.00,603.00,603.00,100.00,2826.00,603.00,0.66,543.00,60.00,0.00,0.00,0.00,18.00,16.00,0.00,18.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,90000.00,12000.00,1700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14156.00,62206.00,186721.00,0.00,0.00,0.00,0.00,0.00,3154.00,0.00,3224.00,1247.00,1805.00,0.00,9.61,0.00,0.56,0.00,0.00,13.39,0.00,39.00,0.00,0.00,0.00,No,46548.00,2.13,9439.00,5574.00,5.08,5615.00,14250.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHALC,ST FRANCIS - NOTTINGHAM CITY HOSPITAL - 2 WARDS,LONG STAY HOSPITAL,160552.00,238880.00,315986.00,62442.00,0.00,0.00,0.00,4503.00,4503.00,100.00,11708.00,1600.00,0.43,4502.00,450.00,0.00,0.00,0.00,40.00,36.00,4.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,27000.00,17308.00,1866.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75897.00,438758.00,1481300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10499.00,4814.00,1569.00,0.00,0.86,0.00,0.29,0.00,0.00,5.68,0.00,18.00,4.00,0.00,0.00,No,116811.00,5.20,196899.00,57300.00,10.60,13064.00,30280.00,18855.00,0.84,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHAN6,106 & 145 THORNEYWOOD MOUNT,NON-HOSPITAL (PATIENT),65791.00,64824.00,55340.00,42418.00,0.00,0.00,0.00,847.00,847.00,100.00,1864.00,532.00,0.41,614.00,233.00,50.00,50.00,0.00,18.00,16.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,43450.00,11109.00,1267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22907.00,93482.00,274747.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5942.00,1300.00,2476.00,0.00,1.37,0.00,0.46,0.00,0.00,8.97,0.00,11.00,2.00,0.00,0.00,No,53642.00,2.62,27452.00,0.00,3.00,5700.00,16625.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHANA,THE WELLS ROAD CENTRE,SPECIALIST HOSPITAL,1531143.00,871838.00,1301133.00,1277651.00,0.00,0.00,0.00,9652.00,9652.00,100.00,25904.00,8541.00,2.64,8687.00,965.00,0.00,0.00,0.00,82.00,70.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,250000.00,250000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94150.00,896662.00,2405045.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33378.00,9445.00,13078.00,0.00,49.06,0.00,3.80,0.00,0.00,36.99,0.00,54.00,3.00,0.00,0.00,No,290745.00,11.97,391429.00,63510.00,9.32,24213.00,64000.00,36233.00,2.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHANM,HIGHBURY HOSPITAL,LONG STAY HOSPITAL,1367153.00,2176958.00,4391967.00,746322.00,0.00,0.00,0.00,17965.00,17965.00,100.00,38867.00,13499.00,6.90,12575.00,5390.00,6.00,0.00,4.00,132.00,115.00,96.00,17.00,0.00,65.50,5.69,0.63,0.00,0.00,0.00,0.00,28.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308935.00,1671264.00,3778371.00,0.00,0.00,0.00,0.00,0.00,136417.00,0.00,84886.00,21867.00,27204.00,0.00,69.70,0.00,19.09,0.00,0.00,73.01,0.17,296.00,17.00,0.00,0.00,No,733272.00,27.66,770125.00,144129.00,12.23,211026.00,157755.00,215426.00,14.91,11064.00,106.00,5410603.00,962170.00,1720927.00,499934.00,186763.00,3728180.00,22791.00,121.12,770125.00,144129.00,533369.00,20.00,211026.00,157755.00,215426.00,14.91
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHAPB,THORNEYWOOD UNIT (CAMHS),SPECIALIST HOSPITAL,148775.00,170612.00,248223.00,83652.00,0.00,0.00,0.00,2571.00,2571.00,100.00,7544.00,2619.00,2.47,2314.00,257.00,50.00,50.00,15.00,12.00,9.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,60799.00,68310.00,3196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50869.00,246801.00,581535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5034.00,1368.00,2160.00,0.00,6.29,0.00,0.69,0.00,0.00,10.30,0.00,64.00,2.00,0.00,0.00,No,72914.00,3.61,22452.00,4380.00,5.12,2160.00,9855.00,60816.00,2.92,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHAPK,BROOMHILL HOUSE,LONG STAY HOSPITAL,57014.00,27499.00,34771.00,35842.00,0.00,0.00,0.00,743.00,743.00,100.00,1718.00,450.00,0.10,651.00,92.00,0.00,0.00,0.00,12.00,11.00,12.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,70.00,100.00,0.00,0.00,0.00,12403.00,273.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18943.00,76429.00,216008.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2223.00,667.00,1260.00,0.00,6.30,0.00,0.35,0.00,0.00,3.43,0.00,5.00,1.00,0.00,0.00,No,36123.00,1.60,18725.00,3642.00,5.03,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHARA,"QUEENS MEDICAL CENTRE, MENTAL HEALTH WARDS",SPECIALIST HOSPITAL,356935.00,186158.00,465954.00,176783.00,0.00,0.00,0.00,3679.00,3679.00,100.00,9700.00,1200.00,0.33,3311.00,368.00,60.00,80.00,0.00,39.00,31.00,0.00,18.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,135250.00,99758.00,4765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133659.00,723000.00,1635000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45000.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,Yes,159582.00,6.64,122000.00,24400.00,12.44,11091.00,26450.00,12626.00,0.56,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RHARY,WATHWOOD HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,682241.00,639253.00,1182768.00,467442.00,0.00,0.00,0.00,6368.00,6368.00,100.00,16162.00,5815.00,4.73,5095.00,1273.00,0.00,0.00,0.00,76.00,68.00,60.00,16.00,0.00,3.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146387.00,860003.00,1420754.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25428.00,9004.00,17523.00,0.00,0.00,0.00,4.00,0.00,0.00,90.00,3.00,112.00,4.00,0.00,0.00,No,175692.00,7.41,373737.00,62040.00,18.28,8100.00,25000.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM01,SOUTHAMPTON GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,30688019.00,18997884.00,15961905.00,5199722.00,586971.00,1082.00,3192882.00,182295.00,155061.00,99.87,465929.00,64534.00,15.74,89373.00,53231.00,2.32,0.66,0.53,1024.00,968.00,179.00,109.00,5.32,15.75,2.83,7.91,22.00,35.68,8.24,0.00,2.27,100.00,7574129.00,6427085.00,13770496.00,7912063.00,15085342.00,2.00,4050.00,48202835.00,9237796.00,17712004.00,137635.00,0.00,2710846.00,12469880.00,65646711.00,692346.00,0.00,0.00,0.00,0.00,0.00,0.00,559271.00,215192.00,785986.00,0.00,269.46,0.00,310.50,0.00,792.90,1218.76,8.45,2848.00,88.00,1.40,0.10,Yes,4849538.00,245.00,4169819.00,1029848.00,12.15,1588785.00,5283160.00,2157614.00,108.90,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM02,ROYAL SOUTH HANTS HOSPITAL,GENERAL ACUTE HOSPITAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4370.00,4370.00,0.00,9752.00,1300.00,0.81,4091.00,324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM03,NEW FOREST BIRTH CENTRE HA,GENERAL ACUTE HOSPITAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00,567.00,0.00,1330.00,631.00,0.10,522.00,11.00,0.00,0.00,0.00,7.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,12.15,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM04,COUNTESS MOUNTBATTEN HOUSE,SPECIALIST HOSPITAL,393842.00,243814.00,204851.00,66732.00,0.00,0.00,0.00,2640.00,2640.00,0.00,5770.00,2448.00,0.78,2268.00,237.00,0.00,0.00,0.00,25.00,22.00,7.00,0.00,0.00,0.00,51.21,0.00,48.79,0.00,0.00,0.00,0.00,100.00,13533.00,56537.00,58425.00,219016.00,83942.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34916.00,138935.00,632112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5585.00,2155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,12.15,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM12,PRINCESS ANNE HOSPITAL,GENERAL ACUTE HOSPITAL,3709850.00,2296639.00,1929622.00,628590.00,0.00,0.00,0.00,23601.00,19131.00,100.00,54955.00,6126.00,1.62,12672.00,4444.00,0.82,0.82,0.00,96.00,57.00,14.00,10.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,259202.00,731212.00,607973.00,1432215.00,1092423.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,519334.00,1951233.00,10246452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58994.00,22699.00,96972.00,0.00,33.24,0.00,38.31,0.00,97.82,150.37,1.04,318.00,7.00,1.40,0.10,Yes,540726.00,27.00,219464.00,54202.00,12.15,196020.00,651822.00,181076.00,10.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHM46,HEALTH RECORDS CENTRE,SUPPORT FACILITY,372743.00,230752.00,193877.00,63157.00,0.00,0.00,0.00,2515.00,2515.00,0.00,13011.00,2217.00,0.50,0.00,2515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34024.00,211014.00,196153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2134.00,850.00,12748.00,0.00,4.37,0.00,5.04,0.00,12.86,19.77,0.14,40.00,2.00,0.00,0.00,No,17000.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,AGGRE,AGGREGATE SITE,AGGREGATE SITE,272755.00,168957.00,829981.00,267989.00,0.00,0.00,563549.00,8132.00,8107.00,48.75,19727.00,5254.00,1.05,3258.00,4849.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.98,0.00,2.46,0.00,67.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134054.00,450701.00,1051231.00,0.00,0.00,0.00,0.00,0.00,79535.00,153374.00,18825.00,5934.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,168292.00,13.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHQCC,CHARLES CLIFFORD DENTAL HOSPITAL,SPECIALIST HOSPITAL,165786.00,784599.00,350164.00,13504.00,0.00,0.00,49815.00,5531.00,5531.00,100.00,17666.00,1407.00,0.39,1851.00,3680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,60.00,0.00,100.00,0.00,307070.00,648261.00,0.00,325021.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104016.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,586859.00,789000.00,10600.00,4849.00,24455.00,0.48,7.14,53.20,1.08,0.00,22.52,37.80,0.00,0.00,0.00,0.00,0.00,None,218088.00,10.86,0.00,0.00,0.00,0.00,0.00,16005.00,0.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHQHH,ROYAL HALLAMSHIRE HOSPITAL,MULTI-SERVICE HOSPITAL,9414257.00,14739279.00,11759842.00,4547932.00,113647.00,267.00,2514955.00,177835.00,176474.00,99.84,391816.00,35177.00,6.97,70558.00,105915.00,0.00,0.00,0.00,710.00,446.00,100.00,48.00,0.00,0.00,10.10,0.50,79.00,0.00,6.40,0.00,4.00,100.00,0.00,6864320.00,17118079.00,3923753.00,7465516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3736107.00,0.00,39275776.00,20555.00,0.00,0.00,0.00,0.00,21436336.00,0.00,345299.00,169199.00,414512.00,56.64,150.52,978.22,97.04,0.00,430.84,11.44,14.16,1010.00,95.00,1.23,0.08,Yes,5573488.00,277.54,1612895.00,585750.00,6.19,551200.00,2051695.00,480799.00,23.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RHQNG,NORTHERN GENERAL HOSPITAL,MULTI-SERVICE HOSPITAL,11969619.00,21581723.00,23476383.00,6521433.00,50647.00,160.00,2737367.00,198210.00,189123.00,100.00,410911.00,80209.00,37.98,68585.00,120539.00,0.98,0.00,2.01,1237.00,1024.00,169.00,109.00,0.00,15.00,12.00,44.00,5.60,2.20,4.20,1.80,15.20,100.00,0.00,9635211.00,17899015.00,1901258.00,10200934.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3934539.00,0.00,47133506.00,0.00,0.00,0.00,0.00,0.00,22968015.00,0.00,642039.00,323169.00,648299.00,71.97,304.51,1506.61,129.49,0.00,865.07,54.47,37.80,2571.00,163.00,0.83,0.08,No,8720576.00,493.14,2646918.00,1381340.00,5.67,1119930.00,4168640.00,548021.00,23.00,12861.00,163.00,3390171.00,0.00,1510082.00,1555.00,233439.00,4072824.00,84761.00,2760.28,317630.00,185472.00,726714.00,63.00,134392.00,500237.00,65763.00,2.76
