Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (Tonnes),Waste recovery/recycling cost (£),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Designated disabled parking spaces (No.),Designated parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Designated parking spaces available for staff (No.)
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A901,VALE DRIVE PRIMARY CARE CENTRE,TREATMENT CENTRE,2001.00,1845.00,100.00,4119.00,637.00,0.07,833.00,1012.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155643.00,184816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21711.00,538.00,1192.00,0.80,1400.00,6622.00,2.20,8.84,0.00,0.00,8.84,720.00,No,23.00,0.00,1.00,0.00,0.00,23.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A909,EDGWARE COMMUNITY HOSPITAL,LONG STAY HOSPITAL,36750.00,33275.00,100.00,79657.00,15503.00,6.20,16031.00,16317.00,0.00,1.00,37.00,33.00,17.00,0.00,38.28,3.44,0.00,0.36,0.00,3.01,0.70,54.21,100.00,87150.00,335160.00,191809.00,223923.00,448543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5427841.00,7486817.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,580399.00,34276.00,56993.00,3.60,3200.00,45112.00,12.84,138.35,3.20,0.00,69.00,10244.00,No,505.00,1.00,20.00,114.00,0.00,355.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A910,FINCHLEY MEMORIAL HOSPITAL,LONG STAY HOSPITAL,7444.00,6951.00,100.00,15360.00,5168.00,1.73,2779.00,4474.00,0.00,1.87,28.00,26.00,0.00,2.00,0.00,7.65,7.53,0.00,21.63,24.17,0.00,39.02,100.00,0.00,231000.00,63000.00,0.00,294000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,629724.00,2268070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106402.00,15303.00,24648.00,1.28,1138.00,20191.00,4.96,40.60,0.00,0.00,35.36,3125.00,No,76.00,0.00,3.00,36.00,0.00,40.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A914,MARIE FOSTER CENTRE,LONG STAY HOSPITAL,1312.00,1288.00,0.00,3016.00,1312.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,16669.00,39848.00,17325.00,73841.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98525.00,277531.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8157.00,439.00,1263.00,0.00,0.00,638.00,0.00,4.42,0.00,0.00,0.00,0.00,No,14.00,0.00,2.00,7.00,0.00,7.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10508.00,10302.00,100.00,23277.00,7780.00,2.00,4402.00,7442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.30,16.40,34.40,13.00,13.90,100.00,1050000.00,223655.00,276050.00,474836.00,1484849.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473638.00,1168014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81757.00,3241.00,6449.00,4.17,6971.00,48900.00,11.70,41.55,0.00,0.00,41.55,3928.00,No,175.00,0.00,6.00,55.00,0.00,120.00
5AT,HILLINGDON PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,14545.00,14019.00,76.34,30552.00,6227.00,3.10,0.00,0.00,20.00,14.00,22.00,17.00,1.00,1.00,0.00,12.00,25.00,25.00,15.00,18.00,0.00,5.00,100.00,0.00,0.00,0.00,500000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,964167.00,153556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229530.00,5657.00,23941.00,69.79,0.00,37995.00,0.00,0.00,0.98,0.00,0.00,0.00,Yes,985.00,2.60,43.00,328.00,0.00,0.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C150,ST MICHAEL'S HOSPITAL,LONG STAY HOSPITAL,5226.00,4399.00,100.00,10734.00,4083.00,2.53,2068.00,2067.00,25.00,2.00,26.00,22.00,11.00,5.00,0.00,28.00,0.00,66.00,6.00,0.00,0.00,0.00,100.00,0.00,1050.00,67778.00,21210.00,6253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256834.00,1462074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112214.00,4749.00,10398.00,0.00,0.00,17413.00,3.63,0.00,0.00,0.00,0.00,0.00,No,135.00,0.00,14.00,121.00,0.00,121.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C199,CHASE FARM HOSPITAL SITE,LONG STAY HOSPITAL,2042.00,2042.00,100.00,4982.00,2144.00,2.12,1645.00,274.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,3150.00,109730.00,19456.00,6909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1776.00,1670.00,3542.00,0.00,0.00,0.00,0.00,0.00,0.00,67145.00,4945.00,4321.00,0.00,0.00,13374.00,81.62,0.00,0.00,0.00,0.00,0.00,No,48.00,1.00,5.00,34.00,0.00,9.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10701.00,9331.00,17.00,22816.00,4295.00,0.89,5035.00,5242.00,50.00,50.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,25.00,42.00,4.00,0.00,11.00,100.00,0.00,23625.00,132773.00,25253.00,38498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3563793.00,803088.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181676.00,4361.00,9297.00,13.83,17257.00,30148.00,0.00,0.00,0.00,0.00,0.00,0.00,No,150.00,0.00,11.00,85.00,0.00,63.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C201,FIVE ELMS HEALTH CENTRE,TREATMENT CENTRE,891.00,891.00,100.00,3010.00,891.00,0.35,668.00,223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2081.00,2168.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77395.00,145711.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14427.00,1133.00,2606.00,0.16,417.00,3258.00,2.60,0.33,0.00,0.00,0.26,538.00,No,19.00,0.00,1.00,19.00,0.00,19.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C202,ANNIE PRENDAGAST HEALTH CENTRE ASHTON GARDENS,TREATMENT CENTRE,1585.00,1585.00,0.00,3566.00,836.00,0.24,1085.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150418.00,217601.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30276.00,464.00,1169.00,0.23,490.00,4242.00,2.48,0.59,0.00,0.00,0.46,958.00,No,35.00,0.00,2.00,35.00,0.00,35.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C203,VICARAGE FIELDS HEALTH CENTRE VICARAGE DRIVE,TREATMENT CENTRE,916.00,836.00,91.26,2931.00,916.00,0.16,641.00,195.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,2220.00,2312.00,768.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63548.00,264809.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15991.00,184.00,624.00,0.28,544.00,3702.00,2.86,0.34,0.00,0.00,0.27,553.00,No,10.00,0.00,2.00,10.00,0.00,10.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C204,JULIA ENGWELL HEALTH CENTRE WOODWARD ROAD,TREATMENT CENTRE,769.00,769.00,100.00,2307.00,594.00,0.11,270.00,499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,1942.00,2023.00,672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54898.00,78608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11732.00,269.00,623.00,0.13,332.00,2520.00,1.45,0.29,0.00,0.00,0.23,464.00,No,6.00,0.00,0.00,6.00,0.00,6.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C206,ORCHARDS HEALTH CENTRE GASCOIGNE ROAD,TREATMENT CENTRE,968.00,894.00,0.00,3388.00,698.00,0.21,593.00,300.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2497.00,2601.00,864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93990.00,105153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14730.00,622.00,1543.00,0.13,356.00,2928.00,1.65,0.36,0.00,0.00,0.28,585.00,No,16.00,0.00,1.00,16.00,0.00,16.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C208,THAMES VIEW HEALTH CENTRE BASTABLE AVENUE,TREATMENT CENTRE,1609.00,1555.00,0.00,4344.00,536.00,0.13,1030.00,525.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153656.00,161353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27952.00,546.00,1043.00,0.21,408.00,4372.00,2.24,0.60,0.00,0.00,0.47,972.00,No,17.00,0.00,2.00,17.00,0.00,17.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C217,GRAYS COURT,COMMUNITY HOSPITAL,3065.00,2881.00,0.00,8275.00,1486.00,0.42,2452.00,429.00,0.00,0.00,44.00,41.00,39.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,8325.00,8672.00,2879.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301365.00,668647.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49857.00,7791.00,15639.00,0.31,727.00,12494.00,12.40,1.14,0.00,0.00,0.90,1851.00,No,30.00,0.00,3.00,12.00,0.00,0.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C218,CHURCH ELM LANE,,1153.00,1153.00,0.00,3113.00,435.00,0.22,1036.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115728.00,100482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16212.00,467.00,997.00,0.13,318.00,3857.00,3.25,0.43,0.00,0.00,0.34,696.00,No,35.00,0.00,2.00,35.00,0.00,35.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C220,MORLAND ROAD HEALTH CENTRE,TREATMENT CENTRE,1823.00,1785.00,0.00,4922.00,435.00,0.27,1155.00,630.00,0.00,2.10,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223546.00,170056.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38388.00,1936.00,3806.00,0.48,1227.00,6536.00,5.36,0.68,0.00,0.00,0.53,1101.00,No,34.00,0.00,4.00,34.00,0.00,34.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C221,"MARKS GATE HEALTH CENTRE, CHADWELL HEATH",TREATMENT CENTRE,1183.00,1037.00,0.00,2840.00,350.00,0.11,646.00,391.00,0.00,13.40,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93211.00,183775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22465.00,326.00,630.00,0.12,265.00,3035.00,1.31,0.44,0.00,0.00,0.35,715.00,No,14.00,0.00,2.00,14.00,0.00,14.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C222,BARKING TOWN CENTRE HC,TREATMENT CENTRE,3289.00,3289.00,0.00,8222.00,1024.00,0.24,1458.00,1831.00,0.00,16.70,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329719.00,419764.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62515.00,1016.00,2425.00,0.34,590.00,7162.00,2.55,1.23,0.00,0.00,0.96,1987.00,No,3.00,0.00,3.00,3.00,0.00,3.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C223,PARSLOES PARK HC,TREATMENT CENTRE,2572.00,2572.00,100.00,6944.00,683.00,0.34,1253.00,1319.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262763.00,349321.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55205.00,1320.00,2636.00,0.27,533.00,6018.00,2.52,0.96,0.00,0.00,0.75,1553.00,No,34.00,0.00,4.00,34.00,0.00,34.00
