Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C408,RUSTON STREET CLINIC,TREATMENT CENTRE,646.00,646.00,100.00,1800.00,375.00,0.06,81.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,44000.00,4000.00,0.00,1548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17819.00,201510.00,0.00,0.00,0.00,0.00,0.00,5940.00,0.00,7999.00,210.00,478.00,0.34,77.00,4581.00,1.25,1.12,1.00,50.00,70.24,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C410,SPITALFIELDS HEALTH CENTRE 9-11 BRICK LANE,TREATMENT CENTRE,560.00,560.00,100.00,1496.00,536.00,0.06,257.00,85.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,116000.00,51000.00,0.00,4982.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41518.00,156622.00,0.00,0.00,0.00,0.00,0.00,13839.00,0.00,8493.00,378.00,1091.00,0.67,153.00,3261.00,5.50,2.24,1.00,50.00,27.64,0.00,No,0.00,0.00,0.00,0.00,0.00,2.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C411,STEEL'S LANE HEALTH CENTRE 384-388 COMMERCIAL ROAD,TREATMENT CENTRE,1852.00,1852.00,100.00,5489.00,1500.00,0.16,498.00,856.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,133000.00,0.00,0.00,3912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84425.00,240187.00,0.00,0.00,0.00,0.00,0.00,34054.00,0.00,16540.00,802.00,1502.00,2.01,459.00,5236.00,17.49,6.71,1.00,50.00,19.11,0.00,No,10.00,0.00,1.00,0.00,0.00,10.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C412,WAPPING HEALTH CENTRE 22 WAPPING LANE,TREATMENT CENTRE,585.00,585.00,100.00,1755.00,0.00,0.12,132.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,31000.00,0.00,0.00,925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38546.00,175055.00,0.00,0.00,0.00,0.00,0.00,12849.00,0.00,12096.00,170.00,432.00,0.67,153.00,3521.00,2.16,2.24,1.00,50.00,42.86,0.00,No,9.00,0.00,0.00,0.00,0.00,9.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C413,WELLINGTON WAY HEALTH CENTRE,TREATMENT CENTRE,833.00,833.00,100.00,2257.00,555.00,0.13,167.00,407.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,73000.00,0.00,0.00,2178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76519.00,170237.00,0.00,0.00,0.00,0.00,0.00,2248.00,0.00,9198.00,251.00,509.00,0.34,77.00,2749.00,6.60,1.12,1.00,50.00,28.72,0.00,No,15.00,0.00,1.00,0.00,0.00,14.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C414,MILE END HOSPITAL,MULTI-SERVICE HOSPITAL,25162.00,23777.00,100.00,50730.00,17186.00,3.87,5419.00,13860.00,10.00,0.00,83.00,0.00,0.00,78.00,10.92,1.22,23.94,0.00,7.92,0.95,0.00,55.05,100.00,0.00,58000.00,262000.00,0.00,12462.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1807500.00,4273889.00,0.00,0.00,0.00,0.00,0.00,911944.00,0.00,268110.00,42106.00,72408.00,10.73,10000.00,10000.00,33.49,35.78,5.00,10000.00,30.59,0.00,No,91.00,1.60,13.00,4.00,0.08,74.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C449,"ST PETER'S CENTRE, REARDON STREET",TREATMENT CENTRE,1036.00,1036.00,100.00,2834.00,0.00,0.05,274.00,370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,25000.00,0.00,0.00,746.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71312.00,168704.00,0.00,0.00,0.00,0.00,0.00,23771.00,0.00,12299.00,484.00,883.00,0.67,153.00,3872.00,2.86,2.24,1.00,50.00,38.42,0.00,No,12.00,0.00,0.00,0.00,0.00,12.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C454,BARKANTINE HEALTH CENTRE (PMS PRACTICE),TREATMENT CENTRE,3638.00,3638.00,100.00,0.00,0.00,0.00,1984.00,1654.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,537701.00,422053.00,0.00,0.00,0.00,0.00,0.00,179234.00,0.00,66359.00,0.00,0.00,2.01,618.00,8451.00,8.50,6.70,1.00,50.00,0.00,0.00,No,24.00,0.00,2.00,0.00,0.00,24.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C457,ANEURIN BEVAN HOUSE,SUPPORT FACILITY,4523.00,4523.00,100.00,13569.00,679.00,0.11,0.00,4523.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,50000.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,698077.00,456949.00,0.00,0.00,0.00,0.00,0.00,232692.00,0.00,79729.00,4451.00,7687.00,0.00,0.00,5917.00,13.86,0.00,1.00,50.00,34.99,0.00,No,25.00,0.00,0.00,19.00,0.00,6.00
5C5,NEWHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,26681.00,26471.00,52.00,82116.00,10366.00,3.76,13987.00,8159.00,0.00,0.00,78.00,54.00,0.00,68.00,35.00,9.00,2.00,4.00,1.00,13.00,5.00,31.00,100.00,0.00,838462.00,28126.00,203652.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2632787.00,3440843.00,0.00,0.00,0.00,0.00,0.00,877595.00,0.00,445310.00,26409.00,64407.00,0.00,0.00,109527.00,0.00,0.00,0.00,0.00,0.00,0.00,No,288.00,0.00,26.00,232.00,0.00,288.00
5C9,HARINGEY TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C910,ST. ANN'S HOSPITAL,LONG STAY HOSPITAL,9146.00,8994.00,100.00,24396.00,9146.00,1.00,2328.00,5700.00,25.00,25.00,32.00,0.00,4.00,32.00,0.00,0.00,0.00,22.00,0.00,5.00,2.00,71.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,775584.00,2586252.00,1190.00,0.00,0.00,0.00,0.00,0.00,0.00,179134.00,14297.00,15077.00,0.70,769.00,30377.00,18.84,50.26,0.32,184.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
5C9,HARINGEY TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,17429.00,15065.00,100.00,29638.00,9329.00,2.83,7267.00,7798.00,8.00,17.00,0.00,0.00,0.00,0.00,44.80,11.83,4.75,38.62,0.00,0.00,0.00,0.00,100.00,0.00,110432.00,78934.00,179450.00,156740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1610578.00,2303355.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166613.00,5382.00,9276.00,3.10,7821.00,41630.00,10.90,74.32,0.00,0.00,32.00,8.00,No,175.00,0.00,18.00,0.00,0.00,175.00
