Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Post Code,Estates and facilities finance costs (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Income received for area leased out for retail sales (£),Area leased out for retail sales (m²),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Cost to eradicate Safety related Critical Infrastructure Risk (£),Cost to eradicate non-compliance related Critical Infrastructure Risk (£),Cost to eradicate continuity related Critical Infrastructure Risk (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Peak electrical load (MW),Maximum electrical load (MW),Water cost (£),Sewage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Parking spaces available (No.),Designated disabled parking spaces (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Routine cleaning method/s - Traditional wet-mopping (disposable) (Yes/No),Routine cleaning method/s - Traditional wet-mopping (reusable) (Yes/No),Routine cleaning method/s - Microfibre (disposable) (Yes/No),Routine cleaning method/s - Microfibre (reusable) (Yes/No),Routine cleaning method/s - Disposable wipes (Yes/No),Routine cleaning method/s - Other (Yes/No),Enhanced cleaning method/s - Steam Cleaning (Yes/No),Enhanced cleaning method/s - Hydrogen peroxide fogging (Yes/No),Enhanced cleaning method/s - UV Light (Yes/No),Enhanced cleaning method/s - Chlorine-releasing cleaner (Yes/No),Enhanced cleaning method/s - Sporicidal cleaner (Yes/No),Enhanced cleaning method/s - Other (Yes/No),Cleaning audit processes - Visual audits based on the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - Visual audits based on an alternative Specification to the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - ATP swab testing (Yes/No),Cleaning audit processes - UV light testing (Yes/No),Cleaning audit processes - Microbiological swab testing (Yes/No),Cleaning audit processes - Other (Yes/No),Cost of cleaning occupied floor area assessed as Red/Very High Risk (£),Occupied floor area assessed as Red/Very High Risk (%),Required standard for occupied floor area assessed as Red/Very High Risk (%),Achieved standard for occupied floor area identified as Red/Very High Risk (%),Cost of cleaning occupied floor area assessed as Amber/High and Significant Risk (£),Occupied floor area assessed as Amber/High and Significant Risk (%),Required standard for occupied floor area assessed as Amber/High and Significant Risk (%),Achieved standard for occupied floor area identified as Amber/High and Significant Risk (%),Cost of cleaning occupied floor area assessed as Green/Low Risk (£),Occupied floor area assessed as Green/Low Risk (%),Required standard for occupied floor area assessed as Green/Low Risk (%),Achieved standard for occupied floor area identified as Green/Low Risk (%),Cost of cleaning the occupied floor area not requiring regular cleaning (£),Occupied floor area not requiring regular cleaning (%),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Portering service cost (£),Portering staff (WTE)
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,Aggregate Site,,PL26 6AD,2602019.00,577710.00,101729.00,0.00,0.00,167354.00,0.00,0.00,32781.00,17460.00,31.00,73954.00,11.41,0.00,7543.00,4857.00,33.83,25.75,0.00,0.00,0.00,0.00,0.00,3.00,7.00,3.00,3.00,7.00,25.00,14.00,25.00,13.00,100.00,0.00,700200.00,458850.00,789800.00,52650.00,0.00,630350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112668.00,424611.00,1810377.00,0.00,0.00,0.00,0.00,209135.00,0.00,0.00,53260.00,0.00,0.00,24045.00,39229.00,11274.00,85843.00,365.29,89341.00,105.39,14065.00,243.73,0.00,0.00,671.00,28.00,0.00,0.00,No,937306.00,32.74,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0. No Service,0.00,0.00
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ801,ST AUSTELL COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,PL26 6AD,394301.00,259242.00,359.00,53004.00,0.00,43179.00,0.00,0.00,6482.00,5762.00,0.00,14623.00,0.00,0.00,3319.00,2443.00,100.00,100.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,80549.00,476855.00,1364762.00,317775.00,0.00,0.00,0.00,66879.00,0.00,0.00,0.00,0.20,0.15,10170.00,16594.00,3939.00,15025.00,66.37,13458.00,20.00,1392.00,17.76,0.00,0.00,152.00,10.00,0.00,0.00,No,630559.00,26.20,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,113501.00,18.00,98.00,98.50,397252.00,64.00,90.00,96.30,119806.00,18.00,75.00,91.30,0.00,0.00,160609.00,58035.00,8.30,58463.00,210831.00,1. Full Service – Contracted,3299.00,0.20
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ803,EDWARD HAIN HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR26 2BS,30515.00,61860.00,53.00,14456.00,0.00,18012.00,0.00,0.00,560.00,560.00,0.00,1263.00,0.00,0.00,354.00,206.00,100.00,100.00,60.00,60.00,1.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,6203.00,13283.00,181692.00,27909.00,0.00,0.00,0.00,6542.00,0.00,0.00,0.00,0.00,0.00,496.00,808.00,258.00,2211.00,8.95,107.00,0.16,473.00,0.37,0.00,0.00,16.00,2.00,0.00,0.00,No,94579.00,3.50,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,94579.00,100.00,90.00,96.30,0.00,0.00,75.00,91.30,0.00,0.00,0.00,0.00,0.00,717.00,2638.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ805,HELSTON HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR13 8DR,272720.00,176015.00,199.00,28911.00,0.00,23170.00,0.00,0.00,2731.00,2613.00,0.00,6162.00,0.00,0.00,1420.00,1193.00,100.00,100.00,0.00,0.00,4.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,46516.00,195394.00,730575.00,22327.00,0.00,0.00,0.00,96239.00,0.00,0.00,0.00,0.00,0.00,5257.00,8577.00,2912.00,5630.00,22.00,5190.00,6.76,639.00,6.14,0.00,0.00,76.00,4.00,0.00,0.00,No,230848.00,10.06,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,4617.00,2.00,98.00,98.50,184678.00,80.00,90.00,96.30,41553.00,18.00,75.00,91.30,0.00,0.00,74310.00,26840.00,8.41,17813.00,64282.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ807,NEWQUAY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR7  1RQ,136638.00,112488.00,169.00,22888.00,0.00,19588.00,0.00,0.00,2202.00,2113.00,0.00,4967.00,0.00,0.00,1432.00,681.00,100.00,100.00,0.00,0.00,4.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,29684.00,134812.00,398557.00,9489.00,0.00,0.00,0.00,66400.00,0.00,0.00,0.00,0.00,0.00,3257.00,5314.00,1790.00,5402.00,21.68,5021.00,7.46,896.00,2.04,0.00,0.00,39.00,2.00,0.00,0.00,No,201153.00,8.60,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,168968.00,85.00,90.00,90.00,32185.00,15.00,75.00,91.30,0.00,0.00,63510.00,20805.00,9.15,14529.00,52639.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ809,ST MARY'S HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR21 0LE,96586.00,64710.00,499.00,10842.00,0.00,9205.00,0.00,0.00,993.00,993.00,0.00,2240.00,0.00,0.00,545.00,448.00,100.00,100.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8438.00,51897.00,0.00,21769.00,0.00,0.00,0.00,25561.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1253.00,1.98,1928.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,No,97058.00,4.57,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,85411.00,87.00,90.00,96.30,11647.00,13.00,75.00,91.30,0.00,0.00,21419.00,6570.00,9.78,250.00,80.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ810,LAUNCESTON HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,PL15 9JD,109068.00,87339.00,0.00,18185.00,0.00,19140.00,0.00,0.00,1535.00,1486.00,0.00,3463.00,0.00,0.00,939.00,547.00,100.00,100.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,26814.00,100411.00,523493.00,27909.00,0.00,0.00,0.00,49456.00,0.00,0.00,0.00,0.00,0.00,2544.00,4151.00,1478.00,3792.00,16.59,3660.00,5.17,813.00,17.04,0.00,0.00,43.00,2.00,0.00,0.00,No,176334.00,7.63,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,0.00,0.00,98.00,98.50,135777.00,78.00,90.00,96.30,40557.00,22.00,75.00,91.30,0.00,0.00,59396.00,21900.00,8.13,15427.00,55712.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ817,CAMBORNE REDRUTH COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR15 3ER,382008.00,372091.00,720.00,53004.00,0.00,46548.00,0.00,0.00,7467.00,7467.00,0.00,16846.00,0.00,0.00,3206.00,4261.00,100.00,100.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123413.00,542539.00,3613317.00,94333.00,0.00,0.00,0.00,76092.00,0.00,0.00,0.00,0.23,0.15,10264.00,16747.00,5720.00,5483.00,34.72,14914.00,21.91,1028.00,19.08,0.00,0.00,255.00,7.00,0.00,0.00,No,626692.00,28.46,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,1.00,98.00,98.50,6267.00,59.00,90.00,96.30,363482.00,40.00,75.00,91.30,256943.00,0.00,180837.00,43800.00,12.38,40497.00,141512.00,1. Full Service – Contracted,3090.00,0.20
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ842,FALMOUTH HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,TR11 2JA,143323.00,129625.00,228.00,28911.00,0.00,31021.00,0.00,0.00,2521.00,2521.00,0.00,5687.00,0.00,0.00,1393.00,1128.00,100.00,100.00,0.00,0.00,1.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,24889.00,59820.00,695621.00,22327.00,0.00,0.00,0.00,29464.00,0.00,0.00,0.00,0.00,0.00,2867.00,4677.00,1575.00,3145.00,20.60,3806.00,5.76,777.00,13.89,0.00,0.00,63.00,4.00,0.00,0.00,No,269150.00,13.37,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,218011.00,82.00,90.00,96.30,51139.00,18.00,75.00,91.30,0.00,0.00,76754.00,26280.00,8.76,17476.00,63258.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ863,LONGREACH HOUSE,4. Mental Health (including Specialist services),3. Part site - Private Finance Initiative (PFI),TR15 3ER,980770.00,205000.00,0.00,1391.00,0.00,27901.00,0.00,0.00,3198.00,3198.00,100.00,7215.00,0.30,0.00,2481.00,717.00,0.00,0.00,50.00,50.00,30.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46564.00,344488.00,478934.00,0.00,0.00,0.00,0.00,48315.00,0.00,0.00,0.00,0.15,0.07,8495.00,13861.00,4179.00,9379.00,35.13,3408.00,5.05,737.00,14.64,0.00,0.00,22.00,2.00,0.00,0.00,No,176830.00,7.21,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,176830.00,100.00,90.00,96.30,0.00,0.00,75.00,91.30,0.00,0.00,92856.00,32850.00,8.48,6592.00,23718.00,1. Full Service – Contracted,18037.00,1.10
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ866,BODMIN HOSPITAL,3. Mixed service hospital,2. Whole site - Private Finance Initiative (PFI),PL31 2QT,2254014.00,35603.00,0.00,6120.00,0.00,122920.00,0.00,0.00,9664.00,9180.00,100.00,20711.00,3.00,0.00,6869.00,2311.00,0.00,0.00,0.00,0.00,101.00,30.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192602.00,0.00,3082249.00,0.00,0.00,0.00,0.00,1234978.00,0.00,0.00,0.00,0.00,0.00,27697.00,45189.00,15214.00,22493.00,121.75,17756.00,26.40,132356.00,20.14,0.00,0.00,197.00,8.00,0.00,0.00,No,173703.00,7.59,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,1737.00,1.00,98.00,98.50,151122.00,88.00,90.00,96.30,20844.00,11.00,75.00,91.30,0.00,0.00,564265.00,52925.00,10.66,69390.00,227815.00,1. Full Service – Contracted,35084.00,2.30
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ867,STRATTON HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,EX23 9BR,152594.00,95241.00,0.00,11485.00,0.00,13742.00,0.00,0.00,1752.00,1752.00,0.00,3953.00,0.00,0.00,969.00,783.00,0.00,0.00,0.00,0.00,7.00,10.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,30448.00,198046.00,393947.00,25677.00,0.00,0.00,0.00,27776.00,0.00,0.00,0.00,0.16,0.05,2510.00,4096.00,1367.00,2932.00,11.29,3002.00,4.59,493.00,14.96,0.00,0.00,15.00,0.00,0.00,0.00,No,171339.00,7.41,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,5140.00,3.00,98.00,98.50,142211.00,83.00,90.00,96.30,23988.00,14.00,75.00,91.30,0.00,0.00,41694.00,13140.00,9.51,9446.00,34392.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A3,LISKEARD COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,PL14 3XD,1273272.00,0.00,0.00,42112.00,0.00,40922.00,0.00,0.00,4341.00,4197.00,0.00,9794.00,0.00,0.00,3328.00,869.00,0.00,0.00,0.00,0.00,25.00,24.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,73059.00,461080.00,1020734.00,0.00,0.00,0.00,0.00,65140.00,0.00,0.00,0.00,0.30,0.13,7198.00,11744.00,3930.00,15556.00,65.03,11824.00,17.65,522.00,35.80,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,467005.00,19.19,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,9340.00,2.00,98.00,98.50,457665.00,98.00,90.00,96.30,0.00,0.00,75.00,91.30,0.00,0.00,141737.00,56940.00,7.46,40598.00,146355.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A4,ST BARNABAS HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,PL12 4BU,76806.00,82959.00,96.00,8614.00,0.00,9182.00,0.00,0.00,1499.00,1499.00,0.00,3381.00,0.00,0.00,924.00,575.00,100.00,100.00,33.00,33.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,17033.00,64536.00,285194.00,16746.00,0.00,0.00,0.00,31786.00,0.00,0.00,0.00,0.00,0.00,1534.00,2503.00,826.00,1955.00,7.53,1727.00,2.48,676.00,23.03,0.00,0.00,27.00,1.00,0.00,0.00,No,134979.00,6.13,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,2700.00,2.00,98.00,98.50,118782.00,88.00,90.00,96.30,13497.00,10.00,75.00,91.30,0.00,0.00,29835.00,8280.00,10.80,6053.00,21978.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A5,FOWEY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,PL23 1EE,31212.00,69486.00,146.00,12046.00,0.00,13039.00,0.00,0.00,669.00,669.00,0.00,1509.00,0.00,0.00,405.00,264.00,100.00,100.00,100.00,100.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8952.00,23483.00,230386.00,17415.00,0.00,0.00,0.00,11566.00,0.00,0.00,0.00,0.00,0.00,829.00,1352.00,447.00,1666.00,6.21,391.00,0.58,184.00,12.10,0.00,0.00,6.00,0.00,0.00,0.00,No,41725.00,1.00,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,0.00,0.00,98.00,98.50,33380.00,80.00,90.00,96.30,8345.00,20.00,75.00,91.30,0.00,0.00,8632.00,6450.00,4.01,1641.00,5972.00,1. Full Service – Contracted,Not Applicable,Not Applicable
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,AGGRE,AGGREGATE SITE,Aggregate Site,,CV34 5BW,794365.00,17455.00,0.00,0.00,0.00,0.00,0.00,0.00,7861.00,7861.00,0.00,19193.00,0.00,0.00,4764.00,3097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,14.00,38.00,6.00,4.00,29.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384371.00,346092.00,800468.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12912.00,12912.00,3318.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.14,None,37133.00,1.50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0. No Service,0.00,0.00
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RJC02,WARWICK HOSPITAL,1. General acute hospital,1. Freehold,CV34 5BW,5615966.00,2553696.00,15557.00,359627.00,-974930.00,1433196.00,53500.00,166.00,46101.00,46101.00,99.73,120642.00,8.68,0.00,27519.00,16114.00,2.54,0.00,0.00,3.33,102.00,31.00,0.00,7.33,17.48,12.71,42.22,2.14,3.67,0.00,0.09,14.36,100.00,0.00,210000.00,2366666.00,692969.00,10000.00,200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1104141.00,6541639.00,12024958.00,195804.00,0.00,0.00,0.00,0.00,94831.00,0.00,0.00,1.26,1.26,42161.00,42161.00,52161.00,4129.00,2.62,34340.00,65.41,38537.00,99.98,141561.00,629.52,1486.00,49.00,1.57,0.14,Yes,2693371.00,86.60,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,959565.00,36.50,98.00,98.10,1464916.00,53.50,90.00,94.31,268889.00,10.00,80.00,82.60,0.00,0.00,1068647.00,441852.00,6.65,489904.00,1705629.00,3. Hybrid,469016.00,19.50
