Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Estates and facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Income from areas leased out for retail sales (£),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Water cost (£),Sewerage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (select),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Unserved meals: Starters (Kg),Unserved meals: Mains (Kg),Unserved meals: Desserts (Kg),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry that could provide services to other organisations (Select),Portering service cost (£),Portering staff (WTE)
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,WR15 8AF,147160.00,Not Applicable,47583.00,7035.00,16009.00,10293.00,10976.00,1919.00,1776.00,100.00,4510.00,0.57,0.00,1151.00,625.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,10.00,8.00,5.78,3.00,3.00,0.00,0.00,0.00,5045.00,221555.00,129068.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49283.00,164231.00,818720.00,0.00,0.00,0.00,0.00,0.00,1918.00,38358.00,0.00,2130.00,2476.00,1334.00,0.00,0.00,5015.00,17.88,1633.00,2.33,1877.00,3.19,0.00,50.00,5.00,0.00,0.00,0.00,No,97610.00,3.71,100232.00,17901.00,16.80,0.90,6.56,1.04,14213.00,41415.00,3. Hybrid,No,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAV,CROMWELL HOUSE,4. Mental Health (including Specialist services),1. Freehold,,WR3 8AJ,38940.00,Not Applicable,11393.00,1070.00,940.00,891.00,4674.00,436.00,436.00,100.00,1025.00,0.05,0.00,422.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6511.00,30787.00,61281.00,0.00,0.00,0.00,0.00,0.00,342.00,6833.00,0.00,1119.00,775.00,729.00,0.00,0.00,0.00,0.00,1450.00,1.42,1086.00,2.44,0.00,5.00,1.00,0.00,0.00,0.00,No,30831.00,1.29,16347.00,10950.00,4.48,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACG,PRINCESS OF WALES HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,B61 0BB,1261582.00,Not Applicable,209681.00,14835.00,31181.00,81790.00,227982.00,11445.00,11445.00,100.00,26919.00,5.71,0.00,8135.00,3310.00,0.00,0.00,0.00,20.00,0.00,94.00,0.00,153.00,0.00,0.00,0.00,10.00,3.00,4.65,0.00,38.00,23.00,0.00,0.00,32494.00,411156.00,418265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250198.00,1146426.00,3178858.00,0.00,0.00,0.00,0.00,0.00,12722.00,254447.00,12052.00,14264.00,9097.00,9107.00,365.00,0.57,2312.00,30.12,7007.00,18.50,16226.00,48.38,78164.00,359.00,24.00,0.00,1.16,0.00,Yes,612882.00,18.56,486248.00,81180.00,17.97,24.54,32.43,27.11,71028.00,178021.00,3. Hybrid,No,60301.00,3.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACW,PERSHORE HOSPITAL,7. Community hospital (with inpatient beds),4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,WR10 1PS,485833.00,0.00,56746.00,786.00,9043.00,27263.00,12325.00,1821.00,1821.00,0.00,4279.00,Not Applicable,Not Applicable,1521.00,300.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,23487.00,18861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32507.00,144537.00,426443.00,0.00,0.00,0.00,0.00,0.00,1604.00,32080.00,0.00,2563.00,1523.00,1467.00,0.00,0.00,5846.00,13.64,845.00,2.56,569.00,3.06,0.00,15.00,2.00,0.00,1.00,0.00,No,110399.00,4.08,127644.00,27234.00,14.06,7.70,9.93,7.00,25144.00,77368.00,3. Hybrid,No,26991.00,1.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACY,OSBORNE COURT,5. Learning Disabilities,1. Freehold,,WR14 1JE,127181.00,Not Applicable,52064.00,7490.00,4278.00,16231.00,12162.00,2109.00,1778.00,100.00,4956.00,1.20,0.00,1079.00,663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,15.30,0.00,12.60,18.80,0.00,21.00,0.00,0.00,0.00,62782.00,170593.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33175.00,118127.00,647004.00,0.00,0.00,0.00,0.00,0.00,1311.00,26218.00,0.00,2435.00,1814.00,1603.00,0.00,0.00,1892.00,5.49,1625.00,3.55,2680.00,4.85,0.00,53.00,3.00,0.00,0.00,0.00,No,0.00,0.00,21147.00,14012.00,4.52,0.00,0.00,0.00,3356.00,10942.00,3. Hybrid,No,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADC,MALVERN COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,WR14 1EX,816126.00,Not Applicable,109002.00,8800.00,35822.00,35824.00,27279.00,3936.00,3936.00,100.00,9273.00,1.32,0.00,2711.00,801.00,0.00,0.00,0.00,14.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,15471.00,282.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104435.00,537475.00,891849.00,0.00,0.00,0.00,0.00,0.00,5965.00,119292.00,2150.00,7660.00,10447.00,4830.00,0.00,0.00,14746.00,34.90,2362.00,4.48,4291.00,8.37,25972.00,115.00,10.00,0.00,1.16,0.00,No,196255.00,5.59,134183.00,25581.00,15.74,1.48,8.51,2.88,25118.00,81200.00,3. Hybrid,No,76209.00,3.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AHM,TIMBERDINE UNIT,7. Community hospital (with inpatient beds),4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,WR5 2DD,31959.00,0.00,79155.00,7468.00,9249.00,6800.00,24124.00,2269.00,2269.00,100.00,5331.00,Not Applicable,Not Applicable,1796.00,472.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.20,13.00,0.00,0.00,7.00,39.00,0.00,0.00,0.00,4313.00,10439.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52851.00,74345.00,580861.00,0.00,0.00,0.00,0.00,0.00,152007.00,79414.00,0.00,4579.00,2752.00,2908.00,0.00,0.00,15883.00,40.80,1009.00,4.75,3590.00,14.89,0.00,44.00,2.00,0.00,0.00,0.00,No,212468.00,4.20,252880.00,42105.00,18.02,1.00,30.18,4.01,45883.00,96785.00,3. Hybrid,No,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ALJ,KIDDERMINSTER GENERAL HOSPITAL,3. Mixed service hospital,4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,DY11 6RJ,464164.00,0.00,75289.00,1974.00,9040.00,63577.00,29224.00,4267.00,4267.00,100.00,10028.00,Not Applicable,Not Applicable,2778.00,888.00,0.00,0.00,0.00,73.00,0.00,20.00,0.00,47.00,0.00,0.00,0.00,15.10,15.00,10.80,3.00,0.00,5.00,0.00,0.00,9529.00,676872.00,45959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84753.00,31456.00,180327.00,0.00,0.00,0.00,0.00,0.00,167982.00,19004.00,0.00,9495.00,5738.00,3069.00,0.00,0.00,480.00,6.57,3725.00,13.54,3456.00,6.93,0.00,0.00,0.00,0.00,1.50,0.05,Yes,160915.00,5.28,89881.00,16377.00,16.46,2.53,30.97,9.78,17387.00,53499.00,3. Hybrid,No,21809.00,1.11
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ALK,NEWTOWN HOSPITAL,4. Mental Health (including Specialist services),1. Freehold,,WR5 1JG,1093369.00,Not Applicable,146196.00,5629.00,13248.00,9670.00,36033.00,6211.00,6211.00,100.00,14596.00,1.78,0.00,3467.00,1604.00,0.00,0.00,0.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.30,0.00,16.44,0.00,9.00,7.00,0.00,0.00,95967.00,1038653.00,465464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195800.00,267153.00,1064329.00,0.00,0.00,0.00,0.00,0.00,9087.00,177193.00,0.00,31784.00,19208.00,8582.00,0.00,0.00,3039.00,6.53,7829.00,31.83,8156.00,17.56,0.00,32.00,2.00,0.00,1.50,0.05,Yes,221694.00,8.02,250756.00,40371.00,18.63,10.59,38.38,10.63,21494.00,50351.00,3. Hybrid,No,57203.00,3.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,Aggregate Site,,,SO16 4XE,5032090.00,0.00,258502.00,53874.00,0.00,2287.00,292013.00,33447.00,19503.00,99.00,80274.00,4.00,0.00,11867.00,7636.00,0.00,0.00,0.00,95.00,87.00,192.00,4905.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67390.00,354796.00,695015.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3419.00,5162.00,1951.00,0.00,0.00,4860.00,2.04,13438.00,57.09,11369.00,52.68,0.00,274.00,18.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1C03,WESTERN COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,SO16 4XE,826173.00,Not Applicable,161261.00,12040.00,0.00,1237.00,184634.00,5630.00,3107.00,61.00,7741.00,3.00,0.00,1939.00,1168.00,0.00,0.00,0.00,0.00,0.00,0.00,707.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,75030.00,84180.00,138470.00,92720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70974.00,473809.00,816257.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6635.00,9501.00,4155.00,122.00,0.29,325.00,0.49,4662.00,9.99,5875.00,27.58,0.00,93.00,5.00,0.00,0.00,0.00,None,204603.00,9.00,266032.00,46792.00,17.06,9.33,5.64,2.40,15171.00,49640.00,1. Full Service – Contracted,No,91958.00,3.00
