Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQ713,ST BARTHOLOMEW'S HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,4461.00,4203.00,100.00,9420.00,930.00,0.29,861.00,2424.00,0.00,0.00,0.00,57.00,50.00,0.00,6.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,96.00,100.00,76960.00,69680.00,41600.00,0.00,154960.00,1.00,35.00,160.00,82.00,45.00,0.00,0.00,186753.00,773312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67275.00,2902.00,9716.00,0.94,5986.00,4.45,1.90,0.00,0.00,18.39,13.60,3472.00,No,91.00,43.00,4.00,44.00,0.00,0.00,No,13.54,0.00,14600.00,197727.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQ719,WISDOM HOSPICE,COMMUNITY HOSPITAL,2251.00,1933.00,100.00,4937.00,1362.00,0.40,811.00,813.00,0.00,0.00,0.00,15.00,11.00,1.00,1.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,50000.00,5000.00,0.00,0.00,55000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180762.00,434642.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39505.00,1551.00,5111.00,2.11,4491.00,0.07,4.23,0.15,0.00,16.83,6.79,2794.00,No,21.00,9.00,3.00,9.00,0.00,0.00,No,6.06,0.00,7900.00,47907.00
NQL,NAVIGO,NORTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,AGGRE,AGGREGATE SITE,AGGREGATE SITE,3349.00,3349.00,100.00,10048.00,21596.00,2.50,0.00,3149.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,14.50,0.00,0.00,25.00,33.00,27.50,0.00,0.00,100.00,10000.00,2000.00,60000.00,4000.00,76000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352765.00,682362.00,40500.00,0.00,0.00,0.00,0.00,0.00,0.00,79838.00,3892.00,6341.00,0.00,22328.00,0.00,8.02,0.60,0.00,0.00,3.65,1625.00,No,72.00,0.00,4.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NQL,NAVIGO,NORTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQL02,THE WILLOWS,SHORT TERM NON-ACUTE HOSPITAL,1392.00,1392.00,100.00,4176.00,1392.00,0.48,1301.00,91.00,0.00,0.00,55.00,16.00,5.00,0.00,16.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176743.00,505536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33730.00,1186.00,3322.00,0.00,719.00,0.00,19.00,0.50,0.00,0.00,2.30,208.00,No,20.00,0.00,2.00,0.00,0.00,0.00,No,4.25,0.00,7665.00,40899.00
NQL,NAVIGO,NORTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQL03,THE GARDENS,COMMUNITY HOSPITAL,1511.00,1511.00,100.00,4534.00,1511.00,1.24,998.00,513.00,0.00,0.00,0.00,15.00,15.00,15.00,0.00,14.80,20.59,8.70,9.33,31.31,0.91,0.00,14.36,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170000.00,610000.00,0.00,No Data Provided,0.00,0.00,0.00,0.00,0.00,31000.00,6000.00,10000.00,4.90,3862.00,0.00,4.65,0.04,0.00,0.00,8.25,230.00,No,32.00,0.00,4.00,0.00,1.40,0.00,Yes,4.25,0.00,16425.00,87514.00
NQL,NAVIGO,NORTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQL10,HARRISON HOUSE,TREATMENT CENTRE,3289.00,3289.00,100.00,8221.00,2703.00,1.84,2970.00,319.00,0.00,0.00,5.00,26.00,26.00,26.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,14000.00,0.00,1.00,20.00,30.00,5.00,20.00,0.00,0.00,336000.00,779409.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,72906.00,8234.00,24584.00,4.88,6584.00,0.00,5.00,0.20,0.00,0.00,7.02,750.00,No,35.00,0.00,4.00,0.00,0.00,0.00,No,4.25,0.00,28470.00,99827.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,AGGRE,AGGREGATE SITE,AGGREGATE SITE,206782.00,206782.00,100.00,4963.00,19862.00,1.93,76213.00,88395.00,0.00,0.00,0.00,9.00,9.00,0.00,9.00,22.60,23.82,10.44,6.37,18.44,6.37,0.00,11.96,100.00,0.00,0.00,500000.00,700000.00,1200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2117429.00,6959993.00,0.00,0.00,0.00,0.00,0.00,616830.00,0.00,273743.00,12008.00,54718.00,30.00,71653.00,0.00,30.85,0.00,0.00,0.00,0.00,0.00,No,428.00,0.00,28.00,0.00,0.00,0.00,No,8.44,1.00,9855.00,27037.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NR510,LEE MILL,COMMUNITY HOSPITAL,996.00,996.00,100.00,3500.00,3.00,4.09,454.00,272.00,0.00,0.00,0.00,12.00,12.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2400.00,0.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90558.00,300367.00,0.00,0.00,0.00,0.00,0.00,21718.00,0.00,19002.00,1329.00,7157.00,0.12,1301.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,No,21.00,0.00,1.00,0.00,0.00,0.00,No,8.44,0.00,9855.00,37765.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NR515,GLENBOURNE,COMMUNITY HOSPITAL,3580.00,3580.00,100.00,8592.00,1936.00,1.13,1498.00,1173.00,0.00,0.00,0.00,46.00,46.00,0.00,23.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198669.00,789704.00,0.00,0.00,0.00,0.00,0.00,62180.00,0.00,60244.00,2331.00,11815.00,2.89,8757.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,No,55.00,0.00,3.00,0.00,0.00,0.00,No,8.24,0.00,50317.00,133931.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NR527,MOUNT GOULD HOSPITAL,COMMUNITY HOSPITAL,23475.00,23475.00,100.00,54930.00,10537.00,6.14,8544.00,10221.00,0.00,0.00,0.00,116.00,116.00,40.00,42.00,41.96,5.07,7.43,12.34,20.30,1.20,0.00,11.70,100.00,0.00,436496.00,174583.00,10796.00,622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1386458.00,3457467.00,0.00,0.00,621492.00,0.00,0.00,346615.00,0.00,319739.00,14166.00,57956.00,50.06,48669.00,0.00,50.06,0.00,0.00,0.00,0.00,0.00,No,521.00,15.00,24.00,0.00,0.00,0.00,No,8.24,5.00,119355.00,372741.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NR535,PLYM BRIDGE HOUSE,COMMUNITY HOSPITAL,1548.00,1548.00,100.00,3560.00,1474.00,0.83,1030.00,518.00,0.00,0.00,0.00,12.00,12.00,12.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117173.00,378671.00,0.00,0.00,0.00,0.00,0.00,29293.00,0.00,47745.00,1088.00,5799.00,0.01,1124.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,No,27.00,0.00,2.00,0.00,0.00,0.00,No,8.24,0.00,9906.00,27539.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,8315.00,8156.00,100.00,27222.00,7211.00,3.05,2138.00,3800.00,15.36,14.29,8.72,6.00,4.00,0.00,2.00,3.57,17.86,14.29,17.86,21.43,14.29,3.57,7.13,100.00,0.00,55411.00,516642.00,413759.00,106404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201658.00,1211515.00,42029.00,0.00,0.00,59596.00,0.00,489669.00,0.00,145389.00,5270.00,24066.00,6.30,35951.00,0.00,106.16,0.77,0.00,0.00,34.89,12703.00,No,275.00,139.00,15.00,121.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1C,WOODSIDE,SUPPORT FACILITY,968.00,968.00,100.00,2419.00,0.00,0.00,0.00,733.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46416.00,230976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7854.00,216.00,1306.00,0.00,1022.00,0.00,0.00,0.00,0.00,0.00,0.18,1022.00,No,40.00,0.00,0.00,40.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8475.00,8475.00,100.00,24717.00,8183.00,2.72,4089.00,3617.00,59.18,55.46,5.98,71.00,62.00,5.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1316238.00,1362621.00,879923.00,1448590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,826008.00,2866240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190385.00,8577.00,29539.00,10.61,33145.00,0.00,71.67,0.57,0.00,0.00,17.85,6120.00,No,202.00,122.00,6.00,74.00,0.50,0.00,Yes,9.70,3.00,73434.00,237539.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1R,COVERCROFT,TREATMENT CENTRE,635.00,635.00,100.00,1524.00,663.00,0.67,94.00,372.00,15.00,15.00,32.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3974.00,286.00,1238.00,0.00,1249.00,0.00,3.24,0.00,0.00,0.00,0.00,543.00,No,14.00,8.00,0.00,6.00,1.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1V,WATERSIDE MENTAL HEALTH DAY HOSPITAL,TREATMENT CENTRE,706.00,706.00,100.00,1740.00,353.00,0.57,360.00,155.00,20.00,20.00,19.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,23124.00,43218.00,2140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16736.00,59217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3858.00,174.00,599.00,0.21,944.00,0.00,1.39,0.01,0.00,0.00,0.69,421.00,No,10.00,6.00,0.00,4.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,SHORT TERM NON-ACUTE HOSPITAL,699.00,699.00,100.00,1715.00,431.00,0.90,547.00,53.00,65.00,65.00,0.00,12.00,10.00,0.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,21755.00,23144.00,1403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186018.00,0.00,0.00,0.00,0.00,0.00,43198.00,0.00,12832.00,941.00,2882.00,0.26,895.00,0.00,3.51,0.00,0.00,0.00,1.48,259.00,No,14.00,8.00,1.00,5.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A37,ORCHARD PLACE,TREATMENT CENTRE,1265.00,1265.00,100.00,3402.00,454.00,0.24,644.00,370.00,20.00,20.00,6.12,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,4626.00,36677.00,1475.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146287.00,0.00,0.00,0.00,0.00,0.00,91544.00,0.00,14836.00,342.00,1749.00,0.16,2274.00,0.00,6.70,0.00,0.00,0.00,1.48,861.00,No,37.00,22.00,0.00,15.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A46,SMALLWOOD HOUSE,TREATMENT CENTRE,1715.00,1715.00,100.00,4288.00,1263.00,0.42,1171.00,359.00,75.00,75.00,13.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,740.00,465637.00,149551.00,30035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,569657.00,0.00,0.00,0.00,0.00,0.00,114162.00,0.00,36808.00,781.00,2577.00,1.35,1814.00,0.00,6.83,0.00,0.00,0.00,1.37,289.00,No,54.00,32.00,1.00,21.00,0.00,0.00,No,0.00,0.00,0.00,0.00
